#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698420,26624715,SEA_TASP14_2,SEA_TASP14_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1698420,26624716,SEA_TASP14_3,SEA_TASP14_3,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1698420,26624717,SEA_TASP14_4,SEA_TASP14_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624718,SEA_TASP14_5,SEA_TASP14_5,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1698420,26624719,SEA_TASP14_6,SEA_TASP14_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624720,SEA_TASP14_7,SEA_TASP14_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624721,SEA_TASP14_8,SEA_TASP14_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624722,SEA_TASP14_9,SEA_TASP14_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624723,SEA_TASP14_10,SEA_TASP14_10,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1698420,26624724,SEA_TASP14_11,SEA_TASP14_11,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1698420,26624725,SEA_TASP14_12,SEA_TASP14_12,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1698420,26624726,SEA_TASP14_13,SEA_TASP14_13,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1698420,26624727,SEA_TASP14_14,SEA_TASP14_14,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1698420,26624728,SEA_TASP14_15,SEA_TASP14_15,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200910,-
1698420,26624729,SEA_TASP14_16,SEA_TASP14_16,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1698420,26624730,SEA_TASP14_17,SEA_TASP14_17,-,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20200910,-
1698420,26624731,SEA_TASP14_18,SEA_TASP14_18,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1698420,26624732,SEA_TASP14_19,SEA_TASP14_19,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1698420,26624733,SEA_TASP14_20,SEA_TASP14_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624734,SEA_TASP14_21,SEA_TASP14_21,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1698420,26624735,SEA_TASP14_22,SEA_TASP14_22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1698420,26624736,SEA_TASP14_24,SEA_TASP14_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1698420,26624737,SEA_TASP14_25,SEA_TASP14_25,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200910,-
1698420,26624738,SEA_TASP14_23,SEA_TASP14_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
1698420,26624739,SEA_TASP14_26,SEA_TASP14_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624740,SEA_TASP14_27,SEA_TASP14_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624741,SEA_TASP14_28,SEA_TASP14_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624742,SEA_TASP14_29,SEA_TASP14_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624743,SEA_TASP14_30,SEA_TASP14_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624744,SEA_TASP14_31,SEA_TASP14_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624745,SEA_TASP14_32,SEA_TASP14_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1698420,26624746,SEA_TASP14_33,SEA_TASP14_33,-,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20200910,-
1698420,26624747,SEA_TASP14_34,SEA_TASP14_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624748,SEA_TASP14_35,SEA_TASP14_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624749,SEA_TASP14_36,SEA_TASP14_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624750,SEA_TASP14_37,SEA_TASP14_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624751,SEA_TASP14_38,SEA_TASP14_38,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1698420,26624752,SEA_TASP14_39,SEA_TASP14_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624753,SEA_TASP14_40,SEA_TASP14_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624754,SEA_TASP14_41,SEA_TASP14_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624755,SEA_TASP14_42,SEA_TASP14_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624756,SEA_TASP14_43,SEA_TASP14_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624757,SEA_TASP14_44,SEA_TASP14_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624758,SEA_TASP14_45,SEA_TASP14_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624759,SEA_TASP14_46,SEA_TASP14_46,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1698420,26624760,SEA_TASP14_47,SEA_TASP14_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624761,SEA_TASP14_48,SEA_TASP14_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624762,SEA_TASP14_49,SEA_TASP14_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624763,SEA_TASP14_50,SEA_TASP14_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624764,SEA_TASP14_51,SEA_TASP14_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624765,SEA_TASP14_52,SEA_TASP14_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
