#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
489830,10973686,HaGV_gp002,HaGV_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180816,-
489830,10973687,HaGV_gp003,HaGV_gp003,-,-,-,-,protein kinase-1,protein-coding,-,-,-,protein kinase-1,20180816,-
489830,10973688,HaGV_gp004,HaGV_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973689,HaGV_gp005,HaGV_gp005,-,-,-,-,p10,protein-coding,-,-,-,p10,20180816,-
489830,10973690,HaGV_gp006,HaGV_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973691,HaGV_gp007,HaGV_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973692,HaGV_gp008,HaGV_gp008,-,-,-,-,immediate-early transcriptional regulatory protein-1,protein-coding,-,-,-,immediate-early transcriptional regulatory protein-1,20180816,-
489830,10973693,HaGV_gp009,HaGV_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973694,HaGV_gp010,HaGV_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973695,HaGV_gp011,HaGV_gp011,-,-,-,-,occlusion-derived virus envelope protein ODV-E18,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E18,20180816,-
489830,10973696,HaGV_gp012,HaGV_gp012,-,-,-,-,p49,protein-coding,-,-,-,p49,20180816,-
489830,10973697,HaGV_gp013,HaGV_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973698,HaGV_gp014,HaGV_gp014,-,-,-,-,occlusion-derived virus envelope protein ODV-E56,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E56,20180816,-
489830,10973699,HaGV_gp015,HaGV_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973700,HaGV_gp016,HaGV_gp016,-,-,-,-,polyhedral envelope protein,protein-coding,-,-,-,polyhedral envelope protein,20180816,-
