#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873889,29079871,2,PBI_MAKEMAKE_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1873889,29079872,3,PBI_MAKEMAKE_3,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1873889,29079873,4,PBI_MAKEMAKE_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079874,5,PBI_MAKEMAKE_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079875,6,PBI_MAKEMAKE_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079876,7,PBI_MAKEMAKE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079877,8,PBI_MAKEMAKE_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079878,9,PBI_MAKEMAKE_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1873889,29079879,10,PBI_MAKEMAKE_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1873889,29079880,11,PBI_MAKEMAKE_11,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1873889,29079881,12,PBI_MAKEMAKE_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1873889,29079882,13,PBI_MAKEMAKE_13,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20201221,-
1873889,29079883,14,PBI_MAKEMAKE_14,-,-,-,-,scaffolding,protein-coding,-,-,-,scaffolding,20201221,-
1873889,29079884,15,PBI_MAKEMAKE_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1873889,29079885,16,PBI_MAKEMAKE_16,-,-,-,-,head-to-tail-connector,protein-coding,-,-,-,head-to-tail-connector,20201221,-
1873889,29079886,17,PBI_MAKEMAKE_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1873889,29079887,18,PBI_MAKEMAKE_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1873889,29079888,19,PBI_MAKEMAKE_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1873889,29079889,20,PBI_MAKEMAKE_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1873889,29079890,21,PBI_MAKEMAKE_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1873889,29079891,23,PBI_MAKEMAKE_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1873889,29079892,24,PBI_MAKEMAKE_24,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20201221,-
1873889,29079893,22,PBI_MAKEMAKE_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1873889,29079894,25,PBI_MAKEMAKE_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873889,29079895,26,PBI_MAKEMAKE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079896,27,PBI_MAKEMAKE_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873889,29079897,28,PBI_MAKEMAKE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079898,29,PBI_MAKEMAKE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079899,30,PBI_MAKEMAKE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079900,31,PBI_MAKEMAKE_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873889,29079901,32,PBI_MAKEMAKE_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873889,29079902,33,PBI_MAKEMAKE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079903,34,PBI_MAKEMAKE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079904,35,PBI_MAKEMAKE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079905,36,PBI_MAKEMAKE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079906,37,PBI_MAKEMAKE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079907,38,PBI_MAKEMAKE_38,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1873889,29079908,39,PBI_MAKEMAKE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079909,40,PBI_MAKEMAKE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079910,41,PBI_MAKEMAKE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079911,42,PBI_MAKEMAKE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079912,43,PBI_MAKEMAKE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079913,44,PBI_MAKEMAKE_44,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1873889,29079914,45,PBI_MAKEMAKE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079915,46,PBI_MAKEMAKE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
