#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5698,40323934,TraAM80_00001,TraAM80_00001,-,-,Unknown,-,"putative immunodominant antigen, putative,tc40 antigen-like",protein-coding,-,-,-,"putative immunodominant antigen, putative,tc40 antigen-like",20200918,-
5698,40323935,TraAM80_00002,TraAM80_00002,-,-,Unknown,-,putative dispersed gene family protein 1 (DGF-1),protein-coding,-,-,-,putative dispersed gene family protein 1 (DGF-1),20200918,-
5698,40323936,TraAM80_00003,TraAM80_00003,-,-,Unknown,-,putative dispersed gene family protein 1 (DGF-1),protein-coding,-,-,-,putative dispersed gene family protein 1 (DGF-1),20200918,-
5698,40323937,TraAM80_00004,TraAM80_00004,-,-,Unknown,-,crooked neck,protein-coding,-,-,-,crooked neck,20200918,-
5698,40323938,TraAM80_00005,TraAM80_00005,-,-,Unknown,-,"putative ADP-ribosylation factor-like 2, arl2",protein-coding,-,-,-,"putative ADP-ribosylation factor-like 2, arl2",20200918,-
5698,40323939,TraAM80_00006,TraAM80_00006,-,-,Unknown,-,trypanothione synthetase-like protein,protein-coding,-,-,-,trypanothione synthetase-like protein,20200918,-
5698,40323940,TraAM80_00007,TraAM80_00007,-,-,Unknown,-,trypanothione synthetase-like protein,protein-coding,-,-,-,trypanothione synthetase-like protein,20200918,-
5698,40323941,TraAM80_00008,TraAM80_00008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323942,TraAM80_00009,TraAM80_00009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323943,TraAM80_00010,TraAM80_00010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323944,TraAM80_00011,TraAM80_00011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323945,TraAM80_00012,TraAM80_00012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323946,TraAM80_00013,TraAM80_00013,-,-,Unknown,-,putative kinesin,protein-coding,-,-,-,putative kinesin,20200918,-
5698,40323947,TraAM80_00014,TraAM80_00014,-,-,Unknown,-,proteasome regulatory ATPase subunit,protein-coding,-,-,-,proteasome regulatory ATPase subunit,20200918,-
5698,40323948,TraAM80_00015,TraAM80_00015,-,-,Unknown,-,ubiquitin-protein ligase,protein-coding,-,-,-,ubiquitin-protein ligase,20200918,-
5698,40323949,TraAM80_00016,TraAM80_00016,-,-,Unknown,-,GTPase activating protein of Rab-like GTPase,protein-coding,-,-,-,GTPase activating protein of Rab-like GTPase,20200918,-
5698,40323950,TraAM80_00017,TraAM80_00017,-,-,Unknown,-,putative gamma-tubulin complex subunit,protein-coding,-,-,-,putative gamma-tubulin complex subunit,20200918,-
5698,40323951,TraAM80_00018,TraAM80_00018,-,-,Unknown,-,ADP-ribosylation factor-like protein,protein-coding,-,-,-,ADP-ribosylation factor-like protein,20200918,-
5698,40323952,TraAM80_00019,TraAM80_00019,-,-,Unknown,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200918,-
5698,40323953,TraAM80_00020,TraAM80_00020,-,-,Unknown,-,hypothetical protein,pseudo,-,-,-,-,20200918,-
5698,40323954,TraAM80_00021,TraAM80_00021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
