#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517966,60332659,2,I5H77_gp02,SEA_PIPER2020_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2517966,60332660,3,I5H77_gp03,SEA_PIPER2020_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2517966,60332661,4,I5H77_gp04,SEA_PIPER2020_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2517966,60332662,5,I5H77_gp05,SEA_PIPER2020_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332663,6,I5H77_gp06,SEA_PIPER2020_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2517966,60332664,7,I5H77_gp07,SEA_PIPER2020_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2517966,60332665,8,I5H77_gp08,SEA_PIPER2020_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2517966,60332666,9,I5H77_gp09,SEA_PIPER2020_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2517966,60332667,10,I5H77_gp10,SEA_PIPER2020_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332668,11,I5H77_gp11,SEA_PIPER2020_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2517966,60332669,12,I5H77_gp12,SEA_PIPER2020_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2517966,60332670,14,I5H77_gp13,SEA_PIPER2020_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517966,60332671,15,I5H77_gp15,SEA_PIPER2020_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2517966,60332672,13,I5H77_gp14,SEA_PIPER2020_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517966,60332673,16,I5H77_gp16,SEA_PIPER2020_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332674,17,I5H77_gp17,SEA_PIPER2020_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332675,18,I5H77_gp18,SEA_PIPER2020_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332676,19,I5H77_gp19,SEA_PIPER2020_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332677,20,I5H77_gp20,SEA_PIPER2020_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2517966,60332678,21,I5H77_gp21,SEA_PIPER2020_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332679,22,I5H77_gp22,SEA_PIPER2020_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517966,60332680,23,I5H77_gp23,SEA_PIPER2020_23,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2517966,60332681,24,I5H77_gp24,SEA_PIPER2020_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332682,25,I5H77_gp25,SEA_PIPER2020_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332683,26,I5H77_gp26,SEA_PIPER2020_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332684,27,I5H77_gp27,SEA_PIPER2020_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2517966,60332685,28,I5H77_gp28,SEA_PIPER2020_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332686,29,I5H77_gp29,SEA_PIPER2020_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332687,30,I5H77_gp30,SEA_PIPER2020_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332688,31,I5H77_gp31,SEA_PIPER2020_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332689,32,I5H77_gp32,SEA_PIPER2020_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2517966,60332690,33,I5H77_gp33,SEA_PIPER2020_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2517966,60332691,34,I5H77_gp34,SEA_PIPER2020_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2517966,60332692,35,I5H77_gp35,SEA_PIPER2020_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332693,36,I5H77_gp36,SEA_PIPER2020_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332694,37,I5H77_gp37,SEA_PIPER2020_37,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
2517966,60332695,38,I5H77_gp38,SEA_PIPER2020_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332696,39,I5H77_gp39,SEA_PIPER2020_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332697,40,I5H77_gp40,SEA_PIPER2020_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332698,41,I5H77_gp41,SEA_PIPER2020_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2517966,60332699,42,I5H77_gp42,SEA_PIPER2020_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332700,43,I5H77_gp43,SEA_PIPER2020_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332701,45,I5H77_gp45,SEA_PIPER2020_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332702,46,I5H77_gp46,SEA_PIPER2020_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332703,47,I5H77_gp47,SEA_PIPER2020_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332704,48,I5H77_gp48,SEA_PIPER2020_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332705,49,I5H77_gp49,SEA_PIPER2020_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332706,50,I5H77_gp50,SEA_PIPER2020_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332707,51,I5H77_gp51,SEA_PIPER2020_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332708,52,I5H77_gp52,SEA_PIPER2020_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332709,53,I5H77_gp53,SEA_PIPER2020_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332710,54,I5H77_gp54,SEA_PIPER2020_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332711,55,I5H77_gp55,SEA_PIPER2020_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517966,60332712,56,I5H77_gp56,SEA_PIPER2020_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332713,57,I5H77_gp57,SEA_PIPER2020_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332714,58,I5H77_gp58,SEA_PIPER2020_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332715,59,I5H77_gp59,SEA_PIPER2020_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332716,60,I5H77_gp60,SEA_PIPER2020_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2517966,60332717,61,I5H77_gp61,SEA_PIPER2020_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332718,62,I5H77_gp62,SEA_PIPER2020_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332719,63,I5H77_gp63,SEA_PIPER2020_63,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2517966,60332720,64,I5H77_gp64,SEA_PIPER2020_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332721,65,I5H77_gp65,SEA_PIPER2020_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332722,66,I5H77_gp66,SEA_PIPER2020_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332723,67,I5H77_gp67,SEA_PIPER2020_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2517966,60332724,68,I5H77_gp68,SEA_PIPER2020_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332725,69,I5H77_gp69,SEA_PIPER2020_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332726,70,I5H77_gp70,SEA_PIPER2020_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332727,71,I5H77_gp71,SEA_PIPER2020_71,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20201129,-
2517966,60332728,72,I5H77_gp72,SEA_PIPER2020_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332729,73,I5H77_gp73,SEA_PIPER2020_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332730,74,I5H77_gp74,SEA_PIPER2020_74,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2517966,60332731,75,I5H77_gp75,SEA_PIPER2020_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2517966,60332732,76,I5H77_gp76,SEA_PIPER2020_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332733,77,I5H77_gp77,SEA_PIPER2020_77,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2517966,60332734,78,I5H77_gp78,SEA_PIPER2020_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332735,79,I5H77_gp79,SEA_PIPER2020_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332736,80,I5H77_gp80,SEA_PIPER2020_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332737,81,I5H77_gp81,SEA_PIPER2020_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332738,82,I5H77_gp82,SEA_PIPER2020_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332739,83,I5H77_gp83,SEA_PIPER2020_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332740,84,I5H77_gp84,SEA_PIPER2020_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332741,85,I5H77_gp85,SEA_PIPER2020_85,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2517966,60332742,86,I5H77_gp86,SEA_PIPER2020_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332743,87,I5H77_gp87,SEA_PIPER2020_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332744,88,I5H77_gp88,SEA_PIPER2020_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332745,89,I5H77_gp89,SEA_PIPER2020_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332746,91,I5H77_gp91,SEA_PIPER2020_91,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
