#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1048189,54997116,gp59,HOT69_gp001,S-TIM4_ORF_1,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20210129,-
1048189,54997117,ORF_2,HOT69_gp002,S-TIM4_ORF_2,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
1048189,54997118,ORF_3,HOT69_gp003,S-TIM4_ORF_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997119,gp32,HOT69_gp004,S-TIM4_ORF_4,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210129,-
1048189,54997120,ORF_5,HOT69_gp005,S-TIM4_ORF_5,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
1048189,54997121,gp7,HOT69_gp006,S-TIM4_ORF_6,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
1048189,54997122,ORF_7,HOT69_gp007,S-TIM4_ORF_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997123,hn,HOT69_gp008,S-TIM4_ORF_8,-,-,-,hemagglutinin domain-containing protein,protein-coding,-,-,-,hemagglutinin domain-containing protein,20200909,-
1048189,54997124,ORF_9,HOT69_gp009,S-TIM4_ORF_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997125,ORF_10,HOT69_gp010,S-TIM4_ORF_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997126,ORF_11,HOT69_gp011,S-TIM4_ORF_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997127,ORF_12,HOT69_gp012,S-TIM4_ORF_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997128,gp53,HOT69_gp013,S-TIM4_ORF_13,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20210403,-
1048189,54997129,gp48,HOT69_gp014,S-TIM4_ORF_14,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
1048189,54997130,gp4,HOT69_gp015,S-TIM4_ORF_15,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210129,-
1048189,54997131,ORF_16,HOT69_gp016,S-TIM4_ORF_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997132,gp26,HOT69_gp017,S-TIM4_ORF_17,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210129,-
1048189,54997133,gp51,HOT69_gp018,S-TIM4_ORF_18,-,-,-,gp51,protein-coding,-,-,-,gp51,20210403,-
1048189,54997134,ORF_19,HOT69_gp019,S-TIM4_ORF_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997135,ORF_20,HOT69_gp020,S-TIM4_ORF_20,-,-,-,lysozyme murein,protein-coding,-,-,-,lysozyme murein,20210403,-
1048189,54997136,ORF_21,HOT69_gp021,S-TIM4_ORF_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997137,ORF_22,HOT69_gp022,S-TIM4_ORF_22,-,-,-,CP12,protein-coding,-,-,-,CP12,20210403,-
1048189,54997138,ORF_23,HOT69_gp023,S-TIM4_ORF_23,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210403,-
1048189,54997139,ORF_24,HOT69_gp024,S-TIM4_ORF_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997140,ORF_25,HOT69_gp025,S-TIM4_ORF_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997141,cpeT,HOT69_gp026,S-TIM4_ORF_26,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20210129,-
1048189,54997142,gp5,HOT69_gp027,S-TIM4_ORF_27,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20210129,-
1048189,54997143,ORF_28,HOT69_gp028,S-TIM4_ORF_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997144,ORF_29,HOT69_gp029,S-TIM4_ORF_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1048189,54997145,ORF_30,HOT69_gp030,S-TIM4_ORF_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997146,ORF_31,HOT69_gp031,S-TIM4_ORF_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997147,HOT69_gt001,HOT69_gt001,-,-,-,-,-,other,-,-,-,-,20200909,-
1048189,54997148,purM,HOT69_gp234,S-TIM4_ORF_33,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
1048189,54997149,ORF_34,HOT69_gp233,S-TIM4_ORF_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997150,ORF_35,HOT69_gp232,S-TIM4_ORF_35,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1048189,54997151,ORF_36,HOT69_gp231,S-TIM4_ORF_36,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
1048189,54997152,ORF_37,HOT69_gp230,S-TIM4_ORF_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997153,ORF_38,HOT69_gp229,S-TIM4_ORF_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997154,ORF_39,HOT69_gp228,S-TIM4_ORF_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997155,ORF_40,HOT69_gp227,S-TIM4_ORF_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997156,ORF_41,HOT69_gp226,S-TIM4_ORF_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997157,ORF_42,HOT69_gp225,S-TIM4_ORF_42,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20210403,-
1048189,54997158,ORF_43,HOT69_gp224,S-TIM4_ORF_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997159,ORF_44,HOT69_gp223,S-TIM4_ORF_44,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210403,-
1048189,54997160,ORF_45,HOT69_gp222,S-TIM4_ORF_45,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
1048189,54997161,ORF_46,HOT69_gp221,S-TIM4_ORF_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997162,ORF_47,HOT69_gp220,S-TIM4_ORF_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997163,ORF_48,HOT69_gp219,S-TIM4_ORF_48,-,-,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20210129,-
1048189,54997164,ORF_49,HOT69_gp218,S-TIM4_ORF_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1048189,54997165,ORF_50,HOT69_gp217,S-TIM4_ORF_50,-,-,-,leprecan-like 1 isoform 2,protein-coding,-,-,-,leprecan-like 1 isoform 2,20210403,-
1048189,54997166,ORF_51,HOT69_gp216,S-TIM4_ORF_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1048189,54997167,ORF_52,HOT69_gp215,S-TIM4_ORF_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997168,ORF_53,HOT69_gp214,S-TIM4_ORF_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997169,ORF_54,HOT69_gp213,S-TIM4_ORF_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997170,ORF_55,HOT69_gp212,S-TIM4_ORF_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997171,ORF_56,HOT69_gp211,S-TIM4_ORF_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997172,ORF_57,HOT69_gp210,S-TIM4_ORF_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997173,ORF_58,HOT69_gp209,S-TIM4_ORF_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997174,ORF_59,HOT69_gp208,S-TIM4_ORF_59,-,-,-,helicase,protein-coding,-,-,-,helicase,20210403,-
1048189,54997175,dam,HOT69_gp207,S-TIM4_ORF_60,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210403,-
1048189,54997176,ORF_61,HOT69_gp206,S-TIM4_ORF_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997177,ORF_62,HOT69_gp205,S-TIM4_ORF_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997178,ORF_63,HOT69_gp204,S-TIM4_ORF_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997179,ORF_64,HOT69_gp203,S-TIM4_ORF_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997180,ORF_65,HOT69_gp202,S-TIM4_ORF_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997181,ORF_66,HOT69_gp201,S-TIM4_ORF_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1048189,54997182,ORF_67,HOT69_gp200,S-TIM4_ORF_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997183,ORF_68,HOT69_gp199,S-TIM4_ORF_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997184,ORF_69,HOT69_gp198,S-TIM4_ORF_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1048189,54997185,ORF_70,HOT69_gp197,S-TIM4_ORF_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
