#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555201,26630266,PBI_EQUEMIOH13_2,PBI_EQUEMIOH13_2,-,-,-,-,VIP2 protein,protein-coding,-,-,-,VIP2 protein,20200910,-
1555201,26630267,PBI_EQUEMIOH13_3,PBI_EQUEMIOH13_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630268,PBI_EQUEMIOH13_4,PBI_EQUEMIOH13_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630269,PBI_EQUEMIOH13_5,PBI_EQUEMIOH13_5,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1555201,26630270,PBI_EQUEMIOH13_6,PBI_EQUEMIOH13_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630271,PBI_EQUEMIOH13_7,PBI_EQUEMIOH13_7,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1555201,26630272,PBI_EQUEMIOH13_8,PBI_EQUEMIOH13_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630273,PBI_EQUEMIOH13_9,PBI_EQUEMIOH13_9,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555201,26630274,PBI_EQUEMIOH13_10,PBI_EQUEMIOH13_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630275,PBI_EQUEMIOH13_11,PBI_EQUEMIOH13_11,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1555201,26630276,PBI_EQUEMIOH13_12,PBI_EQUEMIOH13_12,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1555201,26630277,PBI_EQUEMIOH13_13,PBI_EQUEMIOH13_13,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1555201,26630278,PBI_EQUEMIOH13_14,PBI_EQUEMIOH13_14,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1555201,26630279,PBI_EQUEMIOH13_15,PBI_EQUEMIOH13_15,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201026,-
1555201,26630280,PBI_EQUEMIOH13_16,PBI_EQUEMIOH13_16,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1555201,26630281,PBI_EQUEMIOH13_17,PBI_EQUEMIOH13_17,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1555201,26630282,PBI_EQUEMIOH13_18,PBI_EQUEMIOH13_18,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1555201,26630283,PBI_EQUEMIOH13_19,PBI_EQUEMIOH13_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
