#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
665032,8683949,2,DP-phiW-14_gp002,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20201220,-
665032,8683950,3,DP-phiW-14_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683951,4,DP-phiW-14_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683952,5,DP-phiW-14_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683953,6,DP-phiW-14_gp006,-,-,-,-,baseplate wedge component gp53,protein-coding,-,-,-,baseplate wedge component gp53,20201220,-
665032,8683954,7,DP-phiW-14_gp007,-,-,-,-,gp48 baseplate tail tube cap,protein-coding,-,-,-,gp48 baseplate tail tube cap,20201220,-
665032,8683955,8,DP-phiW-14_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683956,9,DP-phiW-14_gp009,-,-,-,-,gp4 head completion protein,protein-coding,-,-,-,gp4 head completion protein,20201220,-
665032,8683957,10,DP-phiW-14_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683958,11,DP-phiW-14_gp011,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20201220,-
665032,8683959,12,DP-phiW-14_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683960,13,DP-phiW-14_gp013,-,-,-,-,gp19 tail tube monomer,protein-coding,-,-,-,gp19 tail tube monomer,20201220,-
665032,8683961,14,DP-phiW-14_gp014,-,-,-,-,gp2 DNA end protector protein,protein-coding,-,-,-,gp2 DNA end protector protein,20201220,-
665032,8683962,15,DP-phiW-14_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683963,16,DP-phiW-14_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683964,17,DP-phiW-14_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683965,18,DP-phiW-14_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683966,19,DP-phiW-14_gp019,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201220,-
665032,8683967,20,DP-phiW-14_gp020,-,-,-,-,gp33 late promoter transcription accessory protein,protein-coding,-,-,-,gp33 late promoter transcription accessory protein,20201220,-
665032,8683968,21,DP-phiW-14_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683969,22,DP-phiW-14_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683970,23,DP-phiW-14_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683971,24,DP-phiW-14_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683972,25,DP-phiW-14_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683973,26,DP-phiW-14_gp026,-,-,-,-,bifunctional gluaredoxin/ribonucleoside-diphosphate reductase subunit beta,protein-coding,-,-,-,bifunctional gluaredoxin/ribonucleoside-diphosphate reductase subunit beta,20201220,-
665032,8683974,27,DP-phiW-14_gp027,-,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20201220,-
665032,8683975,28,DP-phiW-14_gp028,-,-,-,-,gp26 base plate hub subunit,protein-coding,-,-,-,gp26 base plate hub subunit,20201220,-
665032,8683976,29,DP-phiW-14_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
