#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2316013,55610911,HWB83_gp02,HWB83_gp02,CPT_Siskin_002,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2316013,55610912,HWB83_gp03,HWB83_gp03,CPT_Siskin_003,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200620,-
2316013,55610913,HWB83_gp04,HWB83_gp04,CPT_Siskin_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2316013,55610914,HWB83_gp05,HWB83_gp05,CPT_Siskin_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2316013,55610915,HWB83_gp06,HWB83_gp06,CPT_Siskin_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2316013,55610916,HWB83_gp07,HWB83_gp07,CPT_Siskin_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2316013,55610917,HWB83_gp08,HWB83_gp08,CPT_Siskin_008,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2316013,55610918,HWB83_gp09,HWB83_gp09,CPT_Siskin_009,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210313,-
2316013,55610919,HWB83_gp10,HWB83_gp10,CPT_Siskin_010,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210424,-
2316013,55610920,HWB83_gp11,HWB83_gp11,CPT_Siskin_011,-,-,-,DUF1441 family protein,protein-coding,-,-,-,DUF1441 family protein,20210116,-
2316013,55610921,HWB83_gp12,HWB83_gp12,CPT_Siskin_012,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2316013,55610922,HWB83_gp13,HWB83_gp13,CPT_Siskin_013,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210116,-
