#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034099,40232909,2,FGG20_gp002,PBI_BAKA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1034099,40232910,3,FGG20_gp003,PBI_BAKA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034099,40232911,4,FGG20_gp004,PBI_BAKA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034099,40232912,5,FGG20_gp005,PBI_BAKA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034099,40232913,6,FGG20_gp006,PBI_BAKA_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1034099,40232914,7,FGG20_gp007,PBI_BAKA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034099,40232915,8,FGG20_gp008,PBI_BAKA_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1034099,40232916,9,FGG20_gp009,PBI_BAKA_9,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1034099,40232917,10,FGG20_gp010,PBI_BAKA_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1034099,40232918,11,FGG20_gp011,PBI_BAKA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034099,40232919,12,FGG20_gp012,PBI_BAKA_12,-,-,-,kinase domain protein,protein-coding,-,-,-,kinase domain protein,20200629,-
1034099,40232920,13,FGG20_gp013,PBI_BAKA_13,-,-,-,methyl transferase,protein-coding,-,-,-,methyl transferase,20200912,-
1034099,40232921,14,FGG20_gp014,PBI_BAKA_14,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200629,-
1034099,40232922,15,FGG20_gp015,PBI_BAKA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
