#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340534,16900979,N271_gp02,N271_gp02,Jersey_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1340534,16900980,N271_gp03,N271_gp03,Jersey_03,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1340534,16900981,N271_gp04,N271_gp04,Jersey_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1340534,16900982,N271_gp05,N271_gp05,Jersey_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900983,N271_gp31,N271_gp31,Jersey_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900984,N271_gp15,N271_gp15,Jersey_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900985,N271_gp10,N271_gp10,Jersey_10,-,-,-,putative spannin,protein-coding,-,-,-,putative spannin,20200629,-
1340534,16900986,N271_gp16,N271_gp16,Jersey_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900987,N271_gp07,N271_gp07,Jersey_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900988,N271_gp14,N271_gp14,Jersey_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900989,N271_gp11,N271_gp11,Jersey_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900990,N271_gp13,N271_gp13,Jersey_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900991,N271_gp12,N271_gp12,Jersey_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1340534,16900992,N271_gp08,N271_gp08,Jersey_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900993,N271_gp59,N271_gp59,Jersey_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900994,N271_gp30,N271_gp30,Jersey_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
