#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
260827,2845928,purA,VP5_gp26,-,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20201220,-
260827,3293597,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Vibriophage VP5).,other,-,-,-,-,20200513,-
260827,5741323,VP5_gp06,VP5_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741324,VP5_gp07,VP5_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741325,VP5_gp10,VP5_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741326,VP5_gp36,VP5_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741327,VP5_gp23,VP5_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741328,VP5_gp35,VP5_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741329,VP5_gp15,VP5_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741330,VP5_gp01,VP5_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741331,VP5_gp18,VP5_gp18,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
260827,5741332,VP5_gp16,VP5_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741333,VP5_gp24,VP5_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741334,VP5_gp41,VP5_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741335,VP5_gp08,VP5_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741336,VP5_gp17,VP5_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741337,VP5_gp39,VP5_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741338,VP5_gp46,VP5_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741339,VP5_gp27,VP5_gp27,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201220,-
260827,5741340,VP5_gp33,VP5_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741341,VP5_gp28,VP5_gp28,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
260827,5741342,VP5_gp25,VP5_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741343,VP5_gp13,VP5_gp13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
260827,5741344,VP5_gp29,VP5_gp29,-,-,-,-,putative single-stranded DNA-binding protein,protein-coding,-,-,-,putative single-stranded DNA-binding protein,20201220,-
260827,5741345,VP5_gp32,VP5_gp32,-,-,-,-,superfamily II DNA/RNA helicase,protein-coding,-,-,-,superfamily II DNA/RNA helicase,20201220,-
260827,5741346,VP5_gp40,VP5_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741347,VP5_gp11,VP5_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741348,VP5_gp12,VP5_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741349,VP5_gp20,VP5_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741350,VP5_gp19,VP5_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741351,VP5_gp21,VP5_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741352,VP5_gp30,VP5_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741353,VP5_gp04,VP5_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741354,VP5_gp42,VP5_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741355,VP5_gp48,VP5_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741356,VP5_gp09,VP5_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741357,VP5_gp14,VP5_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741358,VP5_gp43,VP5_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741359,VP5_gp44,VP5_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741360,VP5_gp37,VP5_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741361,VP5_gp22,VP5_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741362,VP5_gp05,VP5_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741363,VP5_gp45,VP5_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741364,VP5_gp38,VP5_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741365,VP5_gp34,VP5_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741366,VP5_gp31,VP5_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741367,VP5_gp47,VP5_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741368,VP5_gp02,VP5_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
260827,5741369,VP5_gp03,VP5_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
