#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675549,26633473,FLORINDA_2,FLORINDA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1675549,26633474,FLORINDA_3,FLORINDA_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1675549,26633475,FLORINDA_4,FLORINDA_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1675549,26633476,FLORINDA_5,FLORINDA_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1675549,26633477,FLORINDA_6,FLORINDA_6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210406,-
1675549,26633478,FLORINDA_7,FLORINDA_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1675549,26633479,FLORINDA_8,FLORINDA_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1675549,26633480,FLORINDA_9,FLORINDA_9,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1675549,26633481,FLORINDA_10,FLORINDA_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1675549,26633482,FLORINDA_11,FLORINDA_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1675549,26633483,FLORINDA_13,FLORINDA_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1675549,26633484,FLORINDA_14,FLORINDA_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200629,-
1675549,26633485,FLORINDA_12,FLORINDA_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1675549,26633486,FLORINDA_15,FLORINDA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
