#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647301,26637305,2,SEA_VINCENZO_2,-,-,-,-,carboxylate deaminase,protein-coding,-,-,-,carboxylate deaminase,20201221,-
1647301,26637306,3,SEA_VINCENZO_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637307,4,SEA_VINCENZO_4,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201221,-
1647301,26637308,5,SEA_VINCENZO_5,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1647301,26637309,6,SEA_VINCENZO_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637310,7,SEA_VINCENZO_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637311,8,SEA_VINCENZO_8,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201221,-
1647301,26637312,9,SEA_VINCENZO_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637313,10,SEA_VINCENZO_10,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1647301,26637314,11,SEA_VINCENZO_11,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
1647301,26637315,12,SEA_VINCENZO_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637316,13,SEA_VINCENZO_13,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1647301,26637317,14,SEA_VINCENZO_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637318,15,SEA_VINCENZO_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637319,16,SEA_VINCENZO_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637320,17,SEA_VINCENZO_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637321,18,SEA_VINCENZO_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637322,19,SEA_VINCENZO_19,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1647301,26637323,20,SEA_VINCENZO_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637324,21,SEA_VINCENZO_21,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1647301,26637325,22,SEA_VINCENZO_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
