#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283295,60329246,2,I5H44_gp002,SEA_GORGE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2283295,60329247,3,I5H44_gp003,SEA_GORGE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2283295,60329248,4,I5H44_gp004,SEA_GORGE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2283295,60329249,5,I5H44_gp005,SEA_GORGE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2283295,60329250,6,I5H44_gp006,SEA_GORGE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2283295,60329251,7,I5H44_gp007,SEA_GORGE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2283295,60329252,8,I5H44_gp008,SEA_GORGE_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2283295,60329253,9,I5H44_gp009,SEA_GORGE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2283295,60329254,10,I5H44_gp010,SEA_GORGE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2283295,60329255,11,I5H44_gp011,SEA_GORGE_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2283295,60329256,13,I5H44_gp012,SEA_GORGE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2283295,60329257,14,I5H44_gp014,SEA_GORGE_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2283295,60329258,12,I5H44_gp013,SEA_GORGE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2283295,60329259,15,I5H44_gp015,SEA_GORGE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329260,16,I5H44_gp016,SEA_GORGE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329261,17,I5H44_gp017,SEA_GORGE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329262,18,I5H44_gp018,SEA_GORGE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329263,19,I5H44_gp019,SEA_GORGE_19,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20210424,-
2283295,60329264,20,I5H44_gp020,SEA_GORGE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2283295,60329265,21,I5H44_gp021,SEA_GORGE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329266,22,I5H44_gp022,SEA_GORGE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329267,23,I5H44_gp023,SEA_GORGE_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329268,24,I5H44_gp024,SEA_GORGE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283295,60329269,25,I5H44_gp025,SEA_GORGE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329270,26,I5H44_gp026,SEA_GORGE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329271,27,I5H44_gp027,SEA_GORGE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329272,28,I5H44_gp028,SEA_GORGE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329273,29,I5H44_gp029,SEA_GORGE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329274,30,I5H44_gp030,SEA_GORGE_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2283295,60329275,31,I5H44_gp031,SEA_GORGE_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2283295,60329276,32,I5H44_gp032,SEA_GORGE_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2283295,60329277,33,I5H44_gp033,SEA_GORGE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2283295,60329278,34,I5H44_gp034,SEA_GORGE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329279,35,I5H44_gp035,SEA_GORGE_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210123,-
2283295,60329280,36,I5H44_gp036,SEA_GORGE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329281,37,I5H44_gp037,SEA_GORGE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329282,38,I5H44_gp038,SEA_GORGE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329283,39,I5H44_gp039,SEA_GORGE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329284,40,I5H44_gp040,SEA_GORGE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329285,41,I5H44_gp041,SEA_GORGE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329286,42,I5H44_gp042,SEA_GORGE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329287,43,I5H44_gp043,SEA_GORGE_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2283295,60329288,44,I5H44_gp044,SEA_GORGE_44,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2283295,60329289,45,I5H44_gp045,SEA_GORGE_45,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2283295,60329290,46,I5H44_gp046,SEA_GORGE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329291,47,I5H44_gp047,SEA_GORGE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329292,49,I5H44_gp049,SEA_GORGE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
