#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1548918,23680541,ORF02,VC49_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1548918,23680542,ORF03,VC49_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680543,ORF04,VC49_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680544,ORF05,VC49_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680545,ORF06,VC49_gp06,-,-,-,-,putative A transposase,protein-coding,-,-,-,putative A transposase,20200629,-
1548918,23680546,ORF07,VC49_gp07,-,-,-,-,putative DNA transposition protein,protein-coding,-,-,-,putative DNA transposition protein,20200629,-
1548918,23680547,ORF08,VC49_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680548,ORF09,VC49_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680549,ORF10,VC49_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680550,ORF11,VC49_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680551,ORF12,VC49_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680552,ORF13,VC49_gp13,-,-,-,-,DUF3164 family protein,protein-coding,-,-,-,DUF3164 family protein,20201221,-
1548918,23680553,ORF14,VC49_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680554,ORF15,VC49_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680555,ORF16,VC49_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680556,ORF17,VC49_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680557,ORF18,VC49_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680558,ORF19,VC49_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680559,ORF20,VC49_gp20,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
1548918,23680560,ORF21,VC49_gp21,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210116,-
1548918,23680561,ORF22,VC49_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680562,ORF23,VC49_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680563,ORF24,VC49_gp24,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1548918,23680564,ORF25,VC49_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680565,ORF26,VC49_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680566,ORF27,VC49_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680567,ORF28,VC49_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680568,ORF29,VC49_gp29,-,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210417,-
1548918,23680569,ORF30,VC49_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680570,ORF31,VC49_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680571,ORF32,VC49_gp32,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1548918,23680572,ORF33,VC49_gp33,-,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20210424,-
