#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301561,63027030,2,J1772_gp02,SEA_ALI17_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2301561,63027031,3,J1772_gp03,SEA_ALI17_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027032,4,J1772_gp04,SEA_ALI17_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027033,5,J1772_gp05,SEA_ALI17_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027034,6,J1772_gp06,SEA_ALI17_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027035,7,J1772_gp07,SEA_ALI17_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027036,8,J1772_gp08,SEA_ALI17_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027037,9,J1772_gp09,SEA_ALI17_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027038,10,J1772_gp10,SEA_ALI17_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027039,11,J1772_gp11,SEA_ALI17_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2301561,63027040,12,J1772_gp12,SEA_ALI17_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027041,13,J1772_gp13,SEA_ALI17_13,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2301561,63027042,14,J1772_gp14,SEA_ALI17_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027043,15,J1772_gp15,SEA_ALI17_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027044,16,J1772_gp16,SEA_ALI17_16,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2301561,63027045,17,J1772_gp17,SEA_ALI17_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027046,18,J1772_gp18,SEA_ALI17_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027047,19,J1772_gp19,SEA_ALI17_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027048,20,J1772_gp20,SEA_ALI17_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027049,21,J1772_gp21,SEA_ALI17_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027050,22,J1772_gp22,SEA_ALI17_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2301561,63027051,23,J1772_gp23,SEA_ALI17_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2301561,63027052,24,J1772_gp24,SEA_ALI17_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027053,25,J1772_gp25,SEA_ALI17_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
