#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
169684,40120017,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage phi H; Bacteriophage phi-H; Bacteriophage phiH; Halobacterium phage phi H; Halobacterium salinarium bacteriophage phi H; Halobacterium salinarium phage phi H).,other,-,-,-,-,20200513,-
169684,62571561,terL,JR051_gp03,PhiH1_010,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
169684,62571562,JR051_gp04,JR051_gp04,PhiH1_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571563,JR051_gp05,JR051_gp05,PhiH1_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571564,por,JR051_gp06,PhiH1_025,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
169684,62571565,JR051_gp07,JR051_gp07,PhiH1_030,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210424,-
169684,62571566,hp20,JR051_gp08,PhiH1_035,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210208,-
169684,62571567,JR051_gp09,JR051_gp09,PhiH1_040,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210424,-
169684,62571568,hp32,JR051_gp10,PhiH1_045,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
169684,62571569,JR051_gp11,JR051_gp11,PhiH1_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571570,ada,JR051_gp12,PhiH1_055,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20210208,-
169684,62571571,hco,JR051_gp13,PhiH1_060,-,-,-,"head closure protein, type 1",protein-coding,-,-,-,"head closure protein, type 1",20210208,-
169684,62571572,JR051_gp14,JR051_gp14,PhiH1_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571573,nep,JR051_gp15,PhiH1_070,-,-,-,"putative neck protein, type 1",protein-coding,-,-,-,"putative neck protein, type 1",20210424,-
169684,62571574,tco,JR051_gp16,PhiH1_075,-,-,-,"tail completion protein, type 1",protein-coding,-,-,-,"tail completion protein, type 1",20210208,-
169684,62571575,hp67,JR051_gp17,PhiH1_080,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210208,-
169684,62571576,JR051_gp18,JR051_gp18,PhiH1_085,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20210208,-
169684,62571577,JR051_gp19,JR051_gp19,PhiH1_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571578,JR051_gp20,JR051_gp20,PhiH1_095,-,-,-,DUF4177 domain protein,protein-coding,-,-,-,DUF4177 domain protein,20210424,-
169684,62571579,tpm,JR051_gp21,PhiH1_100,-,-,-,tape-measure tail protein,protein-coding,-,-,-,tape-measure tail protein,20210424,-
169684,62571580,JR051_gp22,JR051_gp22,PhiH1_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571581,JR051_gp23,JR051_gp23,PhiH1_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571582,JR051_gp24,JR051_gp24,PhiH1_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571583,JR051_gp25,JR051_gp25,PhiH1_120,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571584,JR051_gp26,JR051_gp26,PhiH1_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
169684,62571585,JR051_gp27,JR051_gp27,PhiH1_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571586,JR051_gp28,JR051_gp28,PhiH1_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571587,JR051_gp29,JR051_gp29,PhiH1_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
169684,62571588,bpj,JR051_gp30,PhiH1_145,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20210424,-
169684,62571589,JR051_gp31,JR051_gp31,PhiH1_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571590,JR051_gp32,JR051_gp32,PhiH1_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571591,JR051_gp33,JR051_gp33,PhiH1_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571592,JR051_gp34,JR051_gp34,PhiH1_165,-,-,-,repeat-containing capsid protein,protein-coding,-,-,-,repeat-containing capsid protein,20210424,-
169684,62571593,JR051_gp35,JR051_gp35,PhiH1_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
