#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301570,60333291,2,I5H83_gp002,SEA_QUICKMATH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2301570,60333292,3,I5H83_gp003,SEA_QUICKMATH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2301570,60333293,4,I5H83_gp004,SEA_QUICKMATH_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301570,60333294,5,I5H83_gp005,SEA_QUICKMATH_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301570,60333295,6,I5H83_gp006,SEA_QUICKMATH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2301570,60333296,7,I5H83_gp007,SEA_QUICKMATH_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301570,60333297,8,I5H83_gp008,SEA_QUICKMATH_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301570,60333298,9,I5H83_gp009,SEA_QUICKMATH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301570,60333299,10,I5H83_gp010,SEA_QUICKMATH_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301570,60333300,11,I5H83_gp011,SEA_QUICKMATH_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301570,60333301,13,I5H83_gp012,SEA_QUICKMATH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301570,60333302,14,I5H83_gp014,SEA_QUICKMATH_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301570,60333303,12,I5H83_gp013,SEA_QUICKMATH_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301570,60333304,15,I5H83_gp015,SEA_QUICKMATH_15,-,-,-,transposase,protein-coding,-,-,-,transposase,20210123,-
2301570,60333305,16,I5H83_gp016,SEA_QUICKMATH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301570,60333306,17,I5H83_gp017,SEA_QUICKMATH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301570,60333307,18,I5H83_gp018,SEA_QUICKMATH_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333308,19,I5H83_gp019,SEA_QUICKMATH_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301570,60333309,20,I5H83_gp020,SEA_QUICKMATH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2301570,60333310,21,I5H83_gp021,SEA_QUICKMATH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333311,22,I5H83_gp022,SEA_QUICKMATH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
