#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572747,26639967,AVV62_gp02,AVV62_gp02,1152AP2_02,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1572747,26639968,AVV62_gp03,AVV62_gp03,1152AP2_03,-,-,-,DUF4055 domain-containing protein,protein-coding,-,-,-,DUF4055 domain-containing protein,20201221,-
1572747,26639969,AVV62_gp04,AVV62_gp04,1152AP2_04,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200912,-
1572747,26639970,AVV62_gp05,AVV62_gp05,1152AP2_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639971,AVV62_gp06,AVV62_gp06,1152AP2_06,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20201221,-
1572747,26639972,AVV62_gp07,AVV62_gp07,1152AP2_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639973,AVV62_gp08,AVV62_gp08,1152AP2_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639974,AVV62_gp09,AVV62_gp09,1152AP2_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639975,AVV62_gp10,AVV62_gp10,1152AP2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639976,AVV62_gp11,AVV62_gp11,1152AP2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639977,AVV62_gp12,AVV62_gp12,1152AP2_12,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1572747,26639978,AVV62_gp13,AVV62_gp13,1152AP2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639979,AVV62_gp14,AVV62_gp14,1152AP2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639980,AVV62_gp15,AVV62_gp15,1152AP2_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639981,AVV62_gp16,AVV62_gp16,1152AP2_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639982,AVV62_gp17,AVV62_gp17,1152AP2_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1572747,26639983,AVV62_gp18,AVV62_gp18,1152AP2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639984,AVV62_gp19,AVV62_gp19,1152AP2_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1572747,26639985,AVV62_gp20,AVV62_gp20,1152AP2_20,-,-,-,minor tail protein L,protein-coding,-,-,-,minor tail protein L,20200629,-
1572747,26639986,AVV62_gp21,AVV62_gp21,1152AP2_21,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20201221,-
