#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262530,16151484,1,HSTV1_1,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1262530,16151485,16,HSTV1_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151486,2,HSTV1_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151487,3,HSTV1_3,-,-,-,-,portal,protein-coding,-,-,-,portal,20201221,-
1262530,16151488,4,HSTV1_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151489,5,HSTV1_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151490,6,HSTV1_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151491,7,HSTV1_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151492,9,HSTV1_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151493,10,HSTV1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151494,11,HSTV1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151495,12,HSTV1_12,-,-,-,-,tower,protein-coding,-,-,-,tower,20201221,-
1262530,16151496,13,HSTV1_13,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20201221,-
1262530,16151497,14,HSTV1_14,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1262530,16151498,15,HSTV1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151499,17,HSTV1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151500,18,HSTV1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151501,19,HSTV1_19,-,-,-,-,HNH domain endonuclease,protein-coding,-,-,-,HNH domain endonuclease,20201221,-
1262530,16151502,20,HSTV1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151503,21,HSTV1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151504,22,HSTV1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151505,24,HSTV1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151506,23,HSTV1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151507,26,HSTV1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151508,28,HSTV1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151509,27,HSTV1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151510,29,HSTV1_29,-,-,-,-,virion component,protein-coding,-,-,-,virion component,20201221,-
1262530,16151511,30,HSTV1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151512,31,HSTV1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151513,32,HSTV1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151514,33,HSTV1_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151515,34,HSTV1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151516,36,HSTV1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
