#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
686439,8684188,end1,CMP1-02,-,-,-,-,HNHc-like endonuclease,protein-coding,-,-,-,HNHc-like endonuclease,20201220,-
686439,8684189,CMP1-03,CMP1-03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684190,CMP1-04,CMP1-04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684191,CMP1-05,CMP1-05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684192,CMP1-06,CMP1-06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684193,thy,CMP1-07,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
686439,8684194,CMP1-08,CMP1-08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684195,CMP1-09,CMP1-09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684196,CMP1-10,CMP1-10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684197,CMP1-11,CMP1-11,-,-,-,-,putative large subunit terminase,protein-coding,-,-,-,putative large subunit terminase,20201220,-
686439,8684198,CMP1-12,CMP1-12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684199,CMP1-13,CMP1-13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684200,CMP1-14,CMP1-14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684201,CMP1-15,CMP1-15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684202,CMP1-16,CMP1-16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684203,CMP1-17,CMP1-17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684204,CMP1-18,CMP1-18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684205,CMP1-19,CMP1-19,-,-,-,-,putative SGNH hydrolase,protein-coding,-,-,-,putative SGNH hydrolase,20201220,-
686439,8684206,CMP1-20,CMP1-20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684207,CMP1-21,CMP1-21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684208,CMP1-22,CMP1-22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684209,CMP1-23,CMP1-23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684210,CMP1-24,CMP1-24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684211,CMP1-25,CMP1-25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684212,CMP1-26,CMP1-26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684213,CMP1-27,CMP1-27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684214,CMP1-28,CMP1-28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684215,CMP1-29,CMP1-29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684216,CMP1-30,CMP1-30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684217,CMP1-31,CMP1-31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684218,CMP1-32,CMP1-32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684219,CMP1-33,CMP1-33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684220,CMP1-34,CMP1-34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684221,CMP1-35,CMP1-35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684222,lys,CMP1-36,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
686439,8684223,hol,CMP1-37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684224,CMP1-38,CMP1-38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684225,CMP1-39,CMP1-39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684226,CMP1-40,CMP1-40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684227,CMP1-41,CMP1-41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684228,CMP1-42,CMP1-42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684229,CMP1-43,CMP1-43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684230,CMP1-44,CMP1-44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684231,CMP1-45,CMP1-45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684232,ssb,CMP1-46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684233,CMP1-47,CMP1-47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684234,CMP1-48,CMP1-48,-,-,-,-,putative DNA single-strand annealing protein,protein-coding,-,-,-,putative DNA single-strand annealing protein,20201220,-
686439,8684235,exo,CMP1-49,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201220,-
686439,8684236,end2,CMP1-50,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
686439,8684237,CMP1-51,CMP1-51,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
686439,8684238,CMP1-52,CMP1-52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684239,CMP1-53,CMP1-53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684240,CMP1-55,CMP1-55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684241,CMP1-57,CMP1-57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684242,CMP1-58,CMP1-58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684243,CMP1-59,CMP1-59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684244,CMP1-61,CMP1-61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684245,CMP1-62,CMP1-62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684246,CMP1-64,CMP1-64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684247,CMP1-65,CMP1-65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684248,CMP1-66,CMP1-66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684249,CMP1-67,CMP1-67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684250,CMP1-68,CMP1-68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684251,CMP1-69,CMP1-69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684252,CMP1-70,CMP1-70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684253,CMP1-71,CMP1-71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684254,CMP1-72,CMP1-72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684255,CMP1-73,CMP1-73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684256,CMP1-74,CMP1-74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684257,CMP1-54,CMP1-54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684258,CMP1-56,CMP1-56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684259,CMP1-60,CMP1-60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684260,CMP1-63,CMP1-63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8684261,CMP1-01,CMP1-01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
686439,8690671,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
