#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250422,65114171,2,KNT94_gp02,SEA_KINGTUT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2250422,65114172,3,KNT94_gp03,SEA_KINGTUT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114173,4,KNT94_gp04,SEA_KINGTUT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114174,5,KNT94_gp05,SEA_KINGTUT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114175,6,KNT94_gp06,SEA_KINGTUT_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2250422,65114176,7,KNT94_gp07,SEA_KINGTUT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114177,8,KNT94_gp08,SEA_KINGTUT_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2250422,65114178,9,KNT94_gp09,SEA_KINGTUT_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210607,-
2250422,65114179,10,KNT94_gp10,SEA_KINGTUT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114180,11,KNT94_gp11,SEA_KINGTUT_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2250422,65114181,12,KNT94_gp12,SEA_KINGTUT_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114182,13,KNT94_gp13,SEA_KINGTUT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114183,14,KNT94_gp14,SEA_KINGTUT_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114184,15,KNT94_gp15,SEA_KINGTUT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114185,16,KNT94_gp16,SEA_KINGTUT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114186,17,KNT94_gp17,SEA_KINGTUT_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2250422,65114187,18,KNT94_gp18,SEA_KINGTUT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114188,19,KNT94_gp19,SEA_KINGTUT_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2250422,65114189,20,KNT94_gp20,SEA_KINGTUT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250422,65114190,21,KNT94_gp21,SEA_KINGTUT_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250422,65114191,22,KNT94_gp22,SEA_KINGTUT_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250422,65114192,23,KNT94_gp23,SEA_KINGTUT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250422,65114193,24,KNT94_gp24,SEA_KINGTUT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114194,25,KNT94_gp25,SEA_KINGTUT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114195,26,KNT94_gp26,SEA_KINGTUT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114196,27,KNT94_gp27,SEA_KINGTUT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
