#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235650,16835372,P751_gp02,P751_gp02,PHL071N05_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235650,16835373,P751_gp03,P751_gp03,PHL071N05_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235650,16835374,P751_gp04,P751_gp04,PHL071N05_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835375,P751_gp05,P751_gp05,PHL071N05_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235650,16835376,P751_gp06,P751_gp06,PHL071N05_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235650,16835377,P751_gp07,P751_gp07,PHL071N05_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835378,P751_gp08,P751_gp08,PHL071N05_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835379,P751_gp09,P751_gp09,PHL071N05_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835380,P751_gp10,P751_gp10,PHL071N05_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835381,P751_gp11,P751_gp11,PHL071N05_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235650,16835382,P751_gp12,P751_gp12,PHL071N05_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835383,P751_gp13,P751_gp13,PHL071N05_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835384,P751_gp14,P751_gp14,PHL071N05_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235650,16835385,P751_gp15,P751_gp15,PHL071N05_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235650,16835386,P751_gp16,P751_gp16,PHL071N05_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235650,16835387,P751_gp17,P751_gp17,PHL071N05_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835388,P751_gp18,P751_gp18,PHL071N05_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235650,16835389,P751_gp19,P751_gp19,PHL071N05_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235650,16835390,P751_gp20,P751_gp20,PHL071N05_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
