#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590946,64470483,2,KGG70_gp02,SEA_CELIA_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2590946,64470484,3,KGG70_gt01,SEA_CELIA_3,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2590946,64470485,4,KGG70_gp77,SEA_CELIA_4,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210505,-
2590946,64470486,5,KGG70_gp76,SEA_CELIA_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210505,-
2590946,64470487,6,KGG70_gp75,SEA_CELIA_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2590946,64470488,7,KGG70_gp74,SEA_CELIA_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2590946,64470489,8,KGG70_gp73,SEA_CELIA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470490,9,KGG70_gp72,SEA_CELIA_9,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2590946,64470491,10,KGG70_gp71,SEA_CELIA_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2590946,64470492,11,KGG70_gp70,SEA_CELIA_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2590946,64470493,12,KGG70_gp69,SEA_CELIA_12,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2590946,64470494,13,KGG70_gp68,SEA_CELIA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470495,14,KGG70_gp67,SEA_CELIA_14,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2590946,64470496,15,KGG70_gp66,SEA_CELIA_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2590946,64470497,17,KGG70_gp64,SEA_CELIA_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2590946,64470498,18,KGG70_gp63,SEA_CELIA_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2590946,64470499,16,KGG70_gp65,SEA_CELIA_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2590946,64470500,19,KGG70_gp62,SEA_CELIA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2590946,64470501,20,KGG70_gp61,SEA_CELIA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2590946,64470502,21,KGG70_gp60,SEA_CELIA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470503,22,KGG70_gp59,SEA_CELIA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470504,23,KGG70_gp58,SEA_CELIA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470505,24,KGG70_gp57,SEA_CELIA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470506,25,KGG70_gp56,SEA_CELIA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470507,26,KGG70_gp55,SEA_CELIA_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2590946,64470508,27,KGG70_gp54,SEA_CELIA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470509,28,KGG70_gp53,SEA_CELIA_28,-,-,-,LysM-like endolysin,protein-coding,-,-,-,LysM-like endolysin,20210505,-
2590946,64470510,29,KGG70_gp52,SEA_CELIA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470511,30,KGG70_gp51,SEA_CELIA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470512,31,KGG70_gp50,SEA_CELIA_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2590946,64470513,32,KGG70_gp49,SEA_CELIA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470514,33,KGG70_gp48,SEA_CELIA_33,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2590946,64470515,34,KGG70_gp47,SEA_CELIA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470516,35,KGG70_gp46,SEA_CELIA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470517,36,KGG70_gp45,SEA_CELIA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470518,37,KGG70_gp44,SEA_CELIA_37,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2590946,64470519,38,KGG70_gp43,SEA_CELIA_38,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2590946,64470520,39,KGG70_gp42,SEA_CELIA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470521,40,KGG70_gp41,SEA_CELIA_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2590946,64470522,41,KGG70_gp40,SEA_CELIA_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2590946,64470523,42,KGG70_gp39,SEA_CELIA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470524,43,KGG70_gp38,SEA_CELIA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470525,44,KGG70_gp37,SEA_CELIA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470526,45,KGG70_gp36,SEA_CELIA_45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2590946,64470527,46,KGG70_gp35,SEA_CELIA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470528,47,KGG70_gp34,SEA_CELIA_47,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210505,-
2590946,64470529,48,KGG70_gp33,SEA_CELIA_48,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210505,-
2590946,64470530,49,KGG70_gp32,SEA_CELIA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470531,50,KGG70_gp31,SEA_CELIA_50,-,-,-,integrase,protein-coding,-,-,-,integrase,20210505,-
2590946,64470532,51,KGG70_gp30,SEA_CELIA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470533,52,KGG70_gp29,SEA_CELIA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470534,53,KGG70_gp28,SEA_CELIA_53,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20210505,-
2590946,64470535,54,KGG70_gp27,SEA_CELIA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470536,55,KGG70_gp26,SEA_CELIA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470537,56,KGG70_gp25,SEA_CELIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470538,57,KGG70_gp24,SEA_CELIA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470539,58,KGG70_gp23,SEA_CELIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470540,59,KGG70_gp22,SEA_CELIA_59,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210505,-
2590946,64470541,60,KGG70_gp21,SEA_CELIA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470542,61,KGG70_gp20,SEA_CELIA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470543,62,KGG70_gp19,SEA_CELIA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470544,63,KGG70_gp18,SEA_CELIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470545,64,KGG70_gp17,SEA_CELIA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470546,65,KGG70_gp16,SEA_CELIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470547,66,KGG70_gp15,SEA_CELIA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470548,67,KGG70_gp14,SEA_CELIA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470549,68,KGG70_gp13,SEA_CELIA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470550,69,KGG70_gp12,SEA_CELIA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470551,70,KGG70_gp11,SEA_CELIA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470552,71,KGG70_gp10,SEA_CELIA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470553,72,KGG70_gp09,SEA_CELIA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470554,73,KGG70_gp08,SEA_CELIA_73,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210505,-
2590946,64470555,74,KGG70_gp07,SEA_CELIA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470556,75,KGG70_gp06,SEA_CELIA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470557,76,KGG70_gp05,SEA_CELIA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470558,77,KGG70_gp04,SEA_CELIA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64470559,78,KGG70_gp03,SEA_CELIA_78,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210505,-
2590946,64470560,1,KGG70_gp01,SEA_CELIA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2590946,64792244,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
