#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1449437,18500305,CF86_gp02,CF86_gp02,-,-,-,-,Putative terminase large subunit,protein-coding,-,-,-,Putative terminase large subunit,20200629,-
1449437,18500306,CF86_gp03,CF86_gp03,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500307,CF86_gp04,CF86_gp04,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210424,-
1449437,18500308,CF86_gp05,CF86_gp05,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500309,CF86_gp06,CF86_gp06,-,-,-,-,Putative endoprotease,protein-coding,-,-,-,Putative endoprotease,20200629,-
1449437,18500310,CF86_gp07,CF86_gp07,-,-,-,-,Putative major capsid protein,protein-coding,-,-,-,Putative major capsid protein,20200629,-
1449437,18500311,CF86_gp08,CF86_gp08,-,-,-,-,Hypothetical Protein,protein-coding,-,-,-,Hypothetical Protein,20201221,-
1449437,18500312,CF86_gp09,CF86_gp09,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500313,CF86_gp10,CF86_gp10,-,-,-,-,Putative tail tubular protein A,protein-coding,-,-,-,Putative tail tubular protein A,20200629,-
1449437,18500314,CF86_gp11,CF86_gp11,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500315,CF86_gp12,CF86_gp12,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500316,CF86_gp13,CF86_gp13,-,-,-,-,Putative internal virion B,protein-coding,-,-,-,Putative internal virion B,20200629,-
1449437,18500317,CF86_gp14,CF86_gp14,-,-,-,-,Putative structural lysozyme,protein-coding,-,-,-,Putative structural lysozyme,20200629,-
1449437,18500318,CF86_gp15,CF86_gp15,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500319,CF86_gp16,CF86_gp16,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500320,CF86_gp17,CF86_gp17,-,-,-,-,Putative tail fibre protein,protein-coding,-,-,-,Putative tail fibre protein,20200629,-
1449437,18500321,CF86_gp18,CF86_gp18,-,-,-,-,Putative peptidoglycan O-acetyltransferase,protein-coding,-,-,-,Putative peptidoglycan O-acetyltransferase,20200629,-
1449437,18500322,CF86_gp19,CF86_gp19,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1449437,18500323,CF86_gp20,CF86_gp20,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500324,CF86_gp21,CF86_gp21,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500325,CF86_gp22,CF86_gp22,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500326,CF86_gp23,CF86_gp23,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500327,CF86_gp24,CF86_gp24,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500328,CF86_gp25,CF86_gp25,-,-,-,-,dual specificity protein phosphatase family protein,protein-coding,-,-,-,dual specificity protein phosphatase family protein,20201221,-
1449437,18500329,CF86_gp26,CF86_gp26,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500330,CF86_gp27,CF86_gp27,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500331,CF86_gp28,CF86_gp28,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500332,CF86_gp29,CF86_gp29,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500333,CF86_gp30,CF86_gp30,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500334,CF86_gp31,CF86_gp31,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1449437,18500335,CF86_gp32,CF86_gp32,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500336,CF86_gp33,CF86_gp33,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500337,CF86_gp34,CF86_gp34,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500338,CF86_gp35,CF86_gp35,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500339,CF86_gp36,CF86_gp36,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1449437,18500340,CF86_gp37,CF86_gp37,-,-,-,-,Putative exonuclease,protein-coding,-,-,-,Putative exonuclease,20200629,-
1449437,18500341,CF86_gp38,CF86_gp38,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20210417,-
1449437,18500342,CF86_gp39,CF86_gp39,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500343,CF86_gp40,CF86_gp40,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500344,CF86_gp41,CF86_gp41,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500345,CF86_gp42,CF86_gp42,-,-,-,-,DUF1382 family protein,protein-coding,-,-,-,DUF1382 family protein,20210123,-
