#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527511,23679883,2,PBI_HADES_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527511,23679884,3,PBI_HADES_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1527511,23679885,4,PBI_HADES_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1527511,23679886,5,PBI_HADES_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1527511,23679887,6,PBI_HADES_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1527511,23679888,7,PBI_HADES_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1527511,23679889,8,PBI_HADES_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1527511,23679890,9,PBI_HADES_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1527511,23679891,10,PBI_HADES_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1527511,23679892,11,PBI_HADES_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1527511,23679893,13,PBI_HADES_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1527511,23679894,14,PBI_HADES_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1527511,23679895,12,PBI_HADES_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1527511,23679896,15,PBI_HADES_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679897,16,PBI_HADES_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679898,17,PBI_HADES_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679899,18,PBI_HADES_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679900,19,PBI_HADES_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679901,20,PBI_HADES_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679902,21,PBI_HADES_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679903,22,PBI_HADES_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679904,23,PBI_HADES_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527511,23679905,24,PBI_HADES_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679906,25,PBI_HADES_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679907,26,PBI_HADES_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679908,27,PBI_HADES_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679909,28,PBI_HADES_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679910,29,PBI_HADES_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679911,30,PBI_HADES_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679912,31,PBI_HADES_31,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1527511,23679913,32,PBI_HADES_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1527511,23679914,33,PBI_HADES_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1527511,23679915,34,PBI_HADES_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679916,35,PBI_HADES_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679917,36,PBI_HADES_36,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
1527511,23679918,37,PBI_HADES_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679919,38,PBI_HADES_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679920,39,PBI_HADES_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679921,40,PBI_HADES_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679922,41,PBI_HADES_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679923,42,PBI_HADES_42,-,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1527511,23679924,43,PBI_HADES_43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1527511,23679925,44,PBI_HADES_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679926,45,PBI_HADES_45,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1527511,23679927,46,PBI_HADES_46,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1527511,23679928,47,PBI_HADES_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679929,48,PBI_HADES_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679930,49,PBI_HADES_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679931,50,PBI_HADES_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679932,51,PBI_HADES_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679933,52,PBI_HADES_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679934,53,PBI_HADES_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679935,54,PBI_HADES_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679936,55,PBI_HADES_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679937,56,PBI_HADES_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679938,57,PBI_HADES_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
