#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698487,26040730,APL42_gp03,APL42_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
698487,26040731,APL42_gp02,APL42_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201220,-
698487,26040732,APL42_gp04,APL42_gp04,-,-,-,-,"putative head protein, SPP1 gp7 family",protein-coding,-,-,-,"putative head protein, SPP1 gp7 family",20201220,-
698487,26040733,APL42_gp05,APL42_gp05,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698487,26040734,APL42_gp06,APL42_gp06,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698487,26040735,APL42_gp07,APL42_gp07,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698487,26040736,APL42_gp08,APL42_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040737,APL42_gp09,APL42_gp09,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
698487,26040738,APL42_gp10,APL42_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040739,APL42_gp11,APL42_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040740,APL42_gp12,APL42_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040741,APL42_gp13,APL42_gp13,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698487,26040742,APL42_gp14,APL42_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040743,APL42_gp15,APL42_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698487,26040744,APL42_gp16,APL42_gp16,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698487,26040745,APL42_gp17,APL42_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040746,APL42_gp18,APL42_gp18,-,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210417,-
698487,26040747,APL42_gp19,APL42_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040748,APL42_gp20,APL42_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040749,APL42_gp21,APL42_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040750,APL42_gp22,APL42_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
698487,26040751,APL42_gp23,APL42_gp23,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
698487,26040752,APL42_gp24,APL42_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040753,APL42_gp25,APL42_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040754,APL42_gp26,APL42_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040755,APL42_gp27,APL42_gp27,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698487,26040756,APL42_gp28,APL42_gp28,-,-,-,-,tailspike 63D sialidase,protein-coding,-,-,-,tailspike 63D sialidase,20201220,-
698487,26040757,APL42_gp29,APL42_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040758,APL42_gp30,APL42_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040759,APL42_gp31,APL42_gp31,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
698487,26040760,APL42_gp32,APL42_gp32,-,-,-,-,putative C-specific methylase,protein-coding,-,-,-,putative C-specific methylase,20201220,-
698487,26040761,APL42_gp33,APL42_gp33,-,-,-,-,putative Mte8-like protein,protein-coding,-,-,-,putative Mte8-like protein,20201220,-
698487,26040762,APL42_gp34,APL42_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040763,APL42_gp35,APL42_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040764,APL42_gp36,APL42_gp36,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
698487,26040765,APL42_gp37,APL42_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698487,26040766,APL42_gp38,APL42_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040767,APL42_gp39,APL42_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040768,APL42_gp40,APL42_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040769,APL42_gp41,APL42_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040770,APL42_gp42,APL42_gp42,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20201220,-
698487,26040771,APL42_gp43,APL42_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040772,APL42_gp44,APL42_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040773,APL42_gp45,APL42_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040774,APL42_gp46,APL42_gp46,-,-,-,-,"putative holin-like, class II",protein-coding,-,-,-,"putative holin-like, class II",20201220,-
698487,26040775,APL42_gp47,APL42_gp47,-,-,-,-,"putative holin-like, class I",protein-coding,-,-,-,"putative holin-like, class I",20201220,-
698487,26040776,APL42_gp48,APL42_gp48,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201220,-
698487,26040777,APL42_gp49,APL42_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040778,APL42_gp50,APL42_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26040779,APL42_gp01,APL42_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698487,26045492,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K1H; Escherichia phage K1-dep(1); K1-dep(1)).,other,-,-,-,-,20210213,-
