#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
663553,26518885,2,AU159_gp002,COLBERT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
663553,26518886,3,AU159_gp003,COLBERT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518887,4,AU159_gp004,COLBERT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518888,5,AU159_gp005,COLBERT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518889,6,AU159_gp006,COLBERT_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
663553,26518890,7,AU159_gp007,COLBERT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663553,26518891,8,AU159_gp008,COLBERT_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
663553,26518892,9,AU159_gp009,COLBERT_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210123,-
663553,26518893,10,AU159_gp010,COLBERT_10,-,-,-,HNH protein,protein-coding,-,-,-,HNH protein,20210212,-
663553,26518894,11,AU159_gp011,COLBERT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518895,12,AU159_gp012,COLBERT_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
663553,26518896,13,AU159_gp013,COLBERT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518897,14,AU159_gp014,COLBERT_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518898,15,AU159_gp015,COLBERT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518899,16,AU159_gp016,COLBERT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518900,17,AU159_gp017,COLBERT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518901,18,AU159_gp018,COLBERT_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
663553,26518902,19,AU159_gp019,COLBERT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518903,20,AU159_gp020,COLBERT_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
663553,26518904,21,AU159_gp021,COLBERT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518905,22,AU159_gp022,COLBERT_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
663553,26518906,23,AU159_gp023,COLBERT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518907,24,AU159_gp024,COLBERT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518908,25,AU159_gp025,COLBERT_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
663553,26518909,26,AU159_gp026,COLBERT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518910,27,AU159_gp027,COLBERT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518911,28,AU159_gp028,COLBERT_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
663553,26518912,29,AU159_gp029,COLBERT_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
663553,26518913,30,AU159_gp030,COLBERT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518914,31,AU159_gp031,COLBERT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518915,32,AU159_gp032,COLBERT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518916,33,AU159_gp033,COLBERT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518917,34,AU159_gp034,COLBERT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518918,35,AU159_gp035,COLBERT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518919,36,AU159_gp036,COLBERT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518920,37,AU159_gp037,COLBERT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518921,38,AU159_gp038,COLBERT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518922,39,AU159_gp039,COLBERT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518923,40,AU159_gp040,COLBERT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518924,41,AU159_gp041,COLBERT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518925,42,AU159_gp042,COLBERT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518926,43,AU159_gp043,COLBERT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518927,44,AU159_gp044,COLBERT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518928,45,AU159_gp045,COLBERT_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
663553,26518929,46,AU159_gp046,COLBERT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518930,47,AU159_gp047,COLBERT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518931,48,AU159_gp048,COLBERT_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
663553,26518932,49,AU159_gp049,COLBERT_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
663553,26518933,50,AU159_gp050,COLBERT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518934,51,AU159_gp051,COLBERT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518935,52,AU159_gp052,COLBERT_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
663553,26518936,53,AU159_gp053,COLBERT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518937,54,AU159_gp054,COLBERT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518938,55,AU159_gp055,COLBERT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518939,56,AU159_gp056,COLBERT_56,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
663553,26518940,57,AU159_gp057,COLBERT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518941,58,AU159_gp058,COLBERT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518942,59,AU159_gp059,COLBERT_59,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
663553,26518943,60,AU159_gp060,COLBERT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518944,61,AU159_gp061,COLBERT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518945,62,AU159_gp062,COLBERT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
