#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5322,5666623,LOC5666623,-,-,-,MT,-,cox1,protein-coding,-,-,-,cytochrome c oxidase subunit 1;hypothetical protein,20201029,-
5322,5666624,LOC5666624,-,-,-,MT,-,nad6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20201029,-
5322,5666625,LOC5666625,-,-,-,MT,-,nad4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20201029,-
5322,59369842,PC9H_000001,PC9H_000001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369843,PC9H_000002,PC9H_000002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369844,PC9H_000003,PC9H_000003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369845,PC9H_000004,PC9H_000004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369846,KIN1_1,PC9H_000005,-,-,Unknown,-,serine/threonine-protein kinase KIN2,protein-coding,-,-,-,serine/threonine-protein kinase KIN2,20201029,-
5322,59369847,PC9H_000006,PC9H_000006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369848,PC9H_000007,PC9H_000007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369849,PC9H_000008,PC9H_000008,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369850,PC9H_000009,PC9H_000009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369851,PC9H_000010,PC9H_000010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59369852,PC9H_000011,PC9H_000011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369853,PC9H_000012,PC9H_000012,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369854,PC9H_000013,PC9H_000013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369855,PC9H_000014,PC9H_000014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369856,PC9H_000015,PC9H_000015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369857,PC9H_000016,PC9H_000016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369858,PC9H_000017,PC9H_000017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59369859,PC9H_000018,PC9H_000018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369860,PC9H_000019,PC9H_000019,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369861,PC9H_000020,PC9H_000020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369862,PC9H_000021,PC9H_000021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369863,PC9H_000022,PC9H_000022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369864,PC9H_000023,PC9H_000023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369865,PC9H_000024,PC9H_000024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369866,PC9H_000025,PC9H_000025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369867,PC9H_000026,PC9H_000026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
