#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723897,65124713,KNU93_gp02,KNU93_gp02,XccvBFoX1_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723897,65124714,KNU93_gp03,KNU93_gp03,XccvBFoX1_gp03,-,-,-,"head, terminase DNA packaging protein A",protein-coding,-,-,-,"head, terminase DNA packaging protein A",20210608,-
2723897,65124715,KNU93_gp04,KNU93_gp04,XccvBFoX1_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124716,KNU93_gp05,KNU93_gp05,XccvBFoX1_gp05,-,-,-,"head, portal protein B",protein-coding,-,-,-,"head, portal protein B",20210608,-
2723897,65124717,KNU93_gp06,KNU93_gp06,XccvBFoX1_gp06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2723897,65124718,KNU93_gp07,KNU93_gp07,XccvBFoX1_gp07c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124719,KNU93_gp08,KNU93_gp08,XccvBFoX1_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124720,KNU93_gp09,KNU93_gp09,XccvBFoX1_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124721,KNU93_gp10,KNU93_gp10,XccvBFoX1_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124722,KNU93_gp11,KNU93_gp11,XccvBFoX1_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723897,65124723,KNU93_gp12,KNU93_gp12,XccvBFoX1_gp12,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2723897,65124724,KNU93_gp13,KNU93_gp13,XccvBFoX1_gp13,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20210608,-
2723897,65124725,KNU93_gp14,KNU93_gp14,XccvBFoX1_gp14,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723897,65124726,KNU93_gp15,KNU93_gp15,XccvBFoX1_gp15,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
