#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10666,65055713,KMB99_gp001,KMB99_gp001,EcT6_00001,-,-,-,membrane ATPase,protein-coding,-,-,-,membrane ATPase,20210607,-
10666,65055714,KMB99_gp002,KMB99_gp002,EcT6_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055715,KMB99_gp003,KMB99_gp003,EcT6_00003,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210607,-
10666,65055716,KMB99_gp004,KMB99_gp004,EcT6_00004,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210607,-
10666,65055717,KMB99_gp005,KMB99_gp005,EcT6_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055718,KMB99_gp006,KMB99_gp006,EcT6_00006,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
10666,65055719,KMB99_gp007,KMB99_gp007,EcT6_00007,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20210607,-
10666,65055720,KMB99_gp008,KMB99_gp008,EcT6_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055721,KMB99_gp009,KMB99_gp009,EcT6_00009,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
10666,65055722,KMB99_gp010,KMB99_gp010,EcT6_00010,-,-,-,RB32ORF010c hypothetical protein,protein-coding,-,-,-,RB32ORF010c hypothetical protein,20210607,-
10666,65055723,KMB99_gp011,KMB99_gp011,EcT6_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055724,KMB99_gp012,KMB99_gp012,EcT6_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055725,KMB99_gp013,KMB99_gp013,EcT6_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055726,KMB99_gp014,KMB99_gp014,EcT6_00014,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210607,-
10666,65055727,KMB99_gp015,KMB99_gp015,EcT6_00015,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
10666,65055728,KMB99_gp016,KMB99_gp016,EcT6_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055729,KMB99_gp017,KMB99_gp017,EcT6_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055730,KMB99_gp018,KMB99_gp018,EcT6_00018,-,-,-,general stress protein,protein-coding,-,-,-,general stress protein,20210607,-
10666,65055731,KMB99_gp019,KMB99_gp019,EcT6_00019,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
10666,65055732,KMB99_gp020,KMB99_gp020,EcT6_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055733,KMB99_gp021,KMB99_gp021,EcT6_00021,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
10666,65055734,KMB99_gp022,KMB99_gp022,EcT6_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055735,KMB99_gp023,KMB99_gp023,EcT6_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055736,KMB99_gp024,KMB99_gp024,EcT6_00024,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
10666,65055737,KMB99_gp025,KMB99_gp025,EcT6_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055738,KMB99_gp026,KMB99_gp026,EcT6_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055739,KMB99_gp027,KMB99_gp027,EcT6_00027,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
10666,65055740,KMB99_gp028,KMB99_gp028,EcT6_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055741,KMB99_gp029,KMB99_gp029,EcT6_00029,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
10666,65055742,KMB99_gp030,KMB99_gp030,EcT6_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055743,KMB99_gp031,KMB99_gp031,EcT6_00031,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
10666,65055744,KMB99_gp032,KMB99_gp032,EcT6_00032,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20210607,-
10666,65055745,KMB99_gp033,KMB99_gp033,EcT6_00033,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210607,-
10666,65055746,KMB99_gp034,KMB99_gp034,EcT6_00034,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210607,-
10666,65055747,KMB99_gp035,KMB99_gp035,EcT6_00035,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210607,-
10666,65055748,KMB99_gp036,KMB99_gp036,EcT6_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055749,KMB99_gp037,KMB99_gp037,EcT6_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055750,KMB99_gp038,KMB99_gp038,EcT6_00038,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
10666,65055751,KMB99_gp039,KMB99_gp039,EcT6_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055752,KMB99_gp040,KMB99_gp040,EcT6_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055753,KMB99_gp041,KMB99_gp041,EcT6_00041,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
10666,65055754,KMB99_gp042,KMB99_gp042,EcT6_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055755,KMB99_gp043,KMB99_gp043,EcT6_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055756,KMB99_gp044,KMB99_gp044,EcT6_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
