#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54402277,P153DRAFT_100106,P153DRAFT_100106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402278,P153DRAFT_100196,P153DRAFT_100196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402279,P153DRAFT_100213,P153DRAFT_100213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402280,P153DRAFT_100249,P153DRAFT_100249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402281,P153DRAFT_100313,P153DRAFT_100313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402282,P153DRAFT_100462,P153DRAFT_100462,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20210320,-
1392245,54402283,P153DRAFT_100544,P153DRAFT_100544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402284,P153DRAFT_100609,P153DRAFT_100609,-,-,Unknown,-,NHL repeat-containing protein,protein-coding,-,-,-,NHL repeat-containing protein,20210320,-
1392245,54402285,P153DRAFT_100622,P153DRAFT_100622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402286,P153DRAFT_100785,P153DRAFT_100785,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402287,P153DRAFT_10090,P153DRAFT_10090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402288,P153DRAFT_101148,P153DRAFT_101148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402289,P153DRAFT_101193,P153DRAFT_101193,-,-,Unknown,-,autophagy protein-like protein 5,protein-coding,-,-,-,autophagy protein-like protein 5,20210320,-
1392245,54402290,P153DRAFT_101258,P153DRAFT_101258,-,-,Unknown,-,DNA mismatch repair protein MSH3,protein-coding,-,-,-,DNA mismatch repair protein MSH3,20210320,-
1392245,54402291,P153DRAFT_101364,P153DRAFT_101364,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402292,P153DRAFT_101389,P153DRAFT_101389,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210320,-
1392245,54402293,P153DRAFT_101464,P153DRAFT_101464,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210320,-
1392245,54402294,P153DRAFT_101773,P153DRAFT_101773,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402295,P153DRAFT_101922,P153DRAFT_101922,-,-,Unknown,-,l-lactate dehydrogenase-like protein,protein-coding,-,-,-,l-lactate dehydrogenase-like protein,20210320,-
1392245,54402296,P153DRAFT_101946,P153DRAFT_101946,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402297,P153DRAFT_102315,P153DRAFT_102315,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402298,P153DRAFT_102338,P153DRAFT_102338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402299,P153DRAFT_102429,P153DRAFT_102429,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402300,P153DRAFT_102895,P153DRAFT_102895,-,-,Unknown,-,DEAD-domain-containing protein,protein-coding,-,-,-,DEAD-domain-containing protein,20210320,-
1392245,54402301,P153DRAFT_103703,P153DRAFT_103703,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402302,P153DRAFT_104026,P153DRAFT_104026,-,-,Unknown,-,Adaptor protein complex AP-3 delta subunit,protein-coding,-,-,-,Adaptor protein complex AP-3 delta subunit,20210320,-
1392245,54402303,P153DRAFT_104570,P153DRAFT_104570,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402304,P153DRAFT_104626,P153DRAFT_104626,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402305,P153DRAFT_104705,P153DRAFT_104705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402306,P153DRAFT_104746,P153DRAFT_104746,-,-,Unknown,-,eukaryotic translation initiation factor 3 subunit B,protein-coding,-,-,-,eukaryotic translation initiation factor 3 subunit B,20210320,-
1392245,54402307,P153DRAFT_105140,P153DRAFT_105140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402308,P153DRAFT_105302,P153DRAFT_105302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402309,P153DRAFT_105399,P153DRAFT_105399,-,-,Unknown,-,ribosomal protein S28e,protein-coding,-,-,-,ribosomal protein S28e,20210320,-
1392245,54402310,P153DRAFT_105890,P153DRAFT_105890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402311,P153DRAFT_106110,P153DRAFT_106110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402312,P153DRAFT_106365,P153DRAFT_106365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402313,P153DRAFT_106530,P153DRAFT_106530,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20210320,-
1392245,54402314,P153DRAFT_106635,P153DRAFT_106635,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402315,P153DRAFT_106817,P153DRAFT_106817,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402316,P153DRAFT_107119,P153DRAFT_107119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402317,P153DRAFT_107512,P153DRAFT_107512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
