#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079287,54988379,HOS76_gp02,HOS76_gp02,PsPhHenninger_gp51,-,-,-,protein inside capsid A,protein-coding,-,-,-,protein inside capsid A,20210403,-
2079287,54988380,HOS76_gp03,HOS76_gp03,PsPhHenninger_gp50,-,-,-,protein inside capsid B,protein-coding,-,-,-,protein inside capsid B,20210403,-
2079287,54988381,HOS76_gp04,HOS76_gp04,PsPhHenninger_gp49,-,-,-,protein inside capsid C,protein-coding,-,-,-,protein inside capsid C,20210403,-
2079287,54988382,HOS76_gp05,HOS76_gp05,PsPhHenninger_gp48,-,-,-,protein inside capsid D,protein-coding,-,-,-,protein inside capsid D,20210403,-
2079287,54988383,HOS76_gp06,HOS76_gp06,PsPhHenninger_gp47,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2079287,54988384,HOS76_gp07,HOS76_gp07,PsPhHenninger_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988385,HOS76_gp08,HOS76_gp08,PsPhHenninger_gp45,-,-,-,class II holin,protein-coding,-,-,-,class II holin,20210403,-
2079287,54988386,HOS76_gp09,HOS76_gp09,PsPhHenninger_gp44,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210403,-
2079287,54988387,HOS76_gp10,HOS76_gp10,PsPhHenninger_gp43,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210403,-
2079287,54988388,HOS76_gp11,HOS76_gp11,PsPhHenninger_gp42,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210403,-
2079287,54988389,HOS76_gp12,HOS76_gp12,PsPhHenninger_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988390,HOS76_gp13,HOS76_gp13,PsPhHenninger_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988391,HOS76_gp14,HOS76_gp14,PsPhHenninger_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988392,HOS76_gp15,HOS76_gp15,PsPhHenninger_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988393,HOS76_gp16,HOS76_gp16,PsPhHenninger_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988394,HOS76_gp17,HOS76_gp17,PsPhHenninger_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988395,HOS76_gp18,HOS76_gp18,PsPhHenninger_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988396,HOS76_gp19,HOS76_gp19,PsPhHenninger_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988397,HOS76_gp20,HOS76_gp20,PsPhHenninger_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079287,54988398,HOS76_gp21,HOS76_gp21,PsPhHenninger_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988399,HOS76_gp22,HOS76_gp22,PsPhHenninger_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988400,HOS76_gp23,HOS76_gp23,PsPhHenninger_gp30,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210403,-
2079287,54988401,HOS76_gp24,HOS76_gp24,PsPhHenninger_gp29,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201221,-
2079287,54988402,HOS76_gp25,HOS76_gp25,PsPhHenninger_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988403,HOS76_gp26,HOS76_gp26,PsPhHenninger_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988404,HOS76_gp27,HOS76_gp27,PsPhHenninger_gp26,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2079287,54988405,HOS76_gp28,HOS76_gp28,PsPhHenninger_gp25,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2079287,54988406,HOS76_gp29,HOS76_gp29,PsPhHenninger_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988407,HOS76_gp30,HOS76_gp30,PsPhHenninger_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988408,HOS76_gp31,HOS76_gp31,PsPhHenninger_gp22,-,-,-,RNA polymerase inhibitor,protein-coding,-,-,-,RNA polymerase inhibitor,20210403,-
2079287,54988409,HOS76_gp32,HOS76_gp32,PsPhHenninger_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
