#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821537,29123569,2,BJD70_gp02,SEA_PANCHINO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821537,29123570,3,BJD70_gp03,SEA_PANCHINO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123571,4,BJD70_gp04,SEA_PANCHINO_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821537,29123572,5,BJD70_gp05,SEA_PANCHINO_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821537,29123573,6,BJD70_gp06,SEA_PANCHINO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821537,29123574,7,BJD70_gp07,SEA_PANCHINO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123575,8,BJD70_gp08,SEA_PANCHINO_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821537,29123576,9,BJD70_gp09,SEA_PANCHINO_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821537,29123577,10,BJD70_gp10,SEA_PANCHINO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123578,11,BJD70_gp11,SEA_PANCHINO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821537,29123579,12,BJD70_gp12,SEA_PANCHINO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123580,13,BJD70_gp13,SEA_PANCHINO_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821537,29123581,15,BJD70_gp14,SEA_PANCHINO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
