#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852628,29059215,BI036_gp142,BI036_gp142,MP1_gp0252,-,-,-,long tail fiber proximal connector,protein-coding,-,-,-,long tail fiber proximal connector,20200910,-
1852628,29059216,BI036_gp245,BI036_gp245,MP1_gp0149,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
1852628,29059217,BI036_gp061,BI036_gp061,MP1_gp0061,-,-,-,recombinase endonuclease VII,protein-coding,-,-,-,recombinase endonuclease VII,20200910,-
1852628,29059218,BI036_gp035,BI036_gp035,MP1_gp0035,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200910,-
1852628,29059219,BI036_gp158,BI036_gp158,MP1_gp0236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059220,BI036_gp002,BI036_gp002,MP1_gp0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059221,BI036_gp188,BI036_gp188,MP1_gp0206,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1852628,29059222,BI036_gp232,BI036_gp232,MP1_gp0162,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1852628,29059223,BI036_gp246,BI036_gp246,MP1_gp0148,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1852628,29059224,BI036_gp005,BI036_gp005,MP1_gp0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059225,BI036_gp242,BI036_gp242,MP1_gp0152,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1852628,29059226,BI036_gp233,BI036_gp233,MP1_gp0161,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1852628,29059227,BI036_gp249,BI036_gp249,MP1_gp0145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059228,BI036_gp139,BI036_gp139,MP1_gp0255,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1852628,29059229,BI036_gp204,BI036_gp204,MP1_gp0190,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200910,-
1852628,29059230,BI036_gp044,BI036_gp044,MP1_gp0044,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200910,-
1852628,29059231,BI036_gp230,BI036_gp230,MP1_gp0164,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1852628,29059232,BI036_gp225,BI036_gp225,MP1_gp0169,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200910,-
1852628,29059233,BI036_gp194,BI036_gp194,MP1_gp0200,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200910,-
1852628,29059234,BI036_gp187,BI036_gp187,MP1_gp0207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059235,BI036_gp053,BI036_gp053,MP1_gp0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059236,BI036_gp029,BI036_gp029,MP1_gp0029,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200910,-
1852628,29059237,BI036_gp127,BI036_gp127,MP1_gp0267,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200910,-
1852628,29059238,BI036_gp239,BI036_gp239,MP1_gp0155,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20200910,-
1852628,29059239,BI036_gp014,BI036_gp014,MP1_gp0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059240,BI036_gp240,BI036_gp240,MP1_gp0154,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20200910,-
1852628,29059241,BI036_gp224,BI036_gp224,MP1_gp0170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059242,BI036_gp160,BI036_gp160,MP1_gp0234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059243,BI036_gp202,BI036_gp202,MP1_gp0192,-,-,-,baseplate hub assembly,protein-coding,-,-,-,baseplate hub assembly,20200910,-
1852628,29059244,BI036_gp031,BI036_gp031,MP1_gp0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059245,BI036_gp141,BI036_gp141,MP1_gp0253,-,-,-,long tail fiber distal connector,protein-coding,-,-,-,long tail fiber distal connector,20200910,-
1852628,29059246,BI036_gp162,BI036_gp162,MP1_gp0232,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200910,-
1852628,29059247,BI036_gp192,BI036_gp192,MP1_gp0202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059248,BI036_gp205,BI036_gp205,MP1_gp0189,-,-,-,baseplate hub subunit and tail length determinator,protein-coding,-,-,-,baseplate hub subunit and tail length determinator,20200910,-
1852628,29059249,BI036_gp027,BI036_gp027,MP1_gp0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059250,BI036_gp070,BI036_gp070,MP1_gp0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059251,BI036_gp045,BI036_gp045,MP1_gp0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059252,BI036_gp244,BI036_gp244,MP1_gp0150,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1852628,29059253,BI036_gp220,BI036_gp220,MP1_gp0174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059254,BI036_gp039,BI036_gp039,MP1_gp0039,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20200910,-
1852628,29059255,BI036_gp237,BI036_gp237,MP1_gp0157,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1852628,29059256,BI036_gp143,BI036_gp143,MP1_gp0251,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200910,-
1852628,29059257,BI036_gp206,BI036_gp206,MP1_gp0188,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200910,-
1852628,29059258,BI036_gp167,BI036_gp167,MP1_gp0227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059259,BI036_gp147,BI036_gp147,MP1_gp0247,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200910,-
1852628,29059260,BI036_gp243,BI036_gp243,MP1_gp0151,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1852628,29059261,BI036_gp153,BI036_gp153,MP1_gp0241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059262,BI036_gp019,BI036_gp019,MP1_gp0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059263,BI036_gp235,BI036_gp235,MP1_gp0159,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1852628,29059264,BI036_gp252,BI036_gp252,MP1_gp0142,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
1852628,29059265,BI036_gp226,BI036_gp226,MP1_gp0168,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1852628,29059266,BI036_gp022,BI036_gp022,MP1_gp0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059267,BI036_gp201,BI036_gp201,MP1_gp0193,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200910,-
1852628,29059268,BI036_gp211,BI036_gp211,MP1_gp0183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059269,BI036_gp159,BI036_gp159,MP1_gp0235,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20200910,-
1852628,29059270,BI036_gp236,BI036_gp236,MP1_gp0158,-,-,-,tail sheath stabilization protein,protein-coding,-,-,-,tail sheath stabilization protein,20200910,-
1852628,29059271,BI036_gp077,BI036_gp077,MP1_gp0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059272,BI036_gp193,BI036_gp193,MP1_gp0201,-,-,-,head outer capsid,protein-coding,-,-,-,head outer capsid,20200910,-
1852628,29059273,BI036_gp168,BI036_gp168,MP1_gp0226,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20200910,-
1852628,29059274,BI036_gp012,BI036_gp012,MP1_gp0012,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20200910,-
1852628,29059275,BI036_gp013,BI036_gp013,MP1_gp0013,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1852628,29059276,BI036_gp009,BI036_gp009,MP1_gp0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059277,BI036_gp040,BI036_gp040,MP1_gp0040,-,-,-,RNA polymerase binding,protein-coding,-,-,-,RNA polymerase binding,20200910,-
1852628,29059278,BI036_gp254,BI036_gp254,MP1_gp0140,-,-,-,tail completion and sheath stabilizer,protein-coding,-,-,-,tail completion and sheath stabilizer,20200910,-
1852628,29059279,BI036_gp025,BI036_gp025,MP1_gp0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059280,BI036_gp146,BI036_gp146,MP1_gp0248,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200910,-
1852628,29059281,BI036_gp217,BI036_gp217,MP1_gp0177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059282,BI036_gp186,BI036_gp186,MP1_gp0208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059283,BI036_gp241,BI036_gp241,MP1_gp0153,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20200910,-
1852628,29059284,BI036_gp227,BI036_gp227,MP1_gp0167,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200910,-
1852628,29059285,BI036_gp010,BI036_gp010,MP1_gp0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059286,BI036_gp138,BI036_gp138,MP1_gp0256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059287,BI036_gp191,BI036_gp191,MP1_gp0203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059288,BI036_gp200,BI036_gp200,MP1_gp0194,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1852628,29059289,BI036_gp148,BI036_gp148,MP1_gp0246,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20200910,-
1852628,29059290,BI036_gp115,BI036_gp115,MP1_gp0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059291,BI036_gp253,BI036_gp253,MP1_gp0141,-,-,-,DNA end protector,protein-coding,-,-,-,DNA end protector,20200910,-
1852628,29059292,BI036_gp016,BI036_gp016,MP1_gp0016,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200910,-
1852628,29059293,BI036_gp069,BI036_gp069,MP1_gp0069,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
1852628,29059294,BI036_gp038,BI036_gp038,MP1_gp0038,-,-,-,DNA polymerase accessory protein clamp loader subunit,protein-coding,-,-,-,DNA polymerase accessory protein clamp loader subunit,20200910,-
1852628,29059295,BI036_gp090,BI036_gp090,MP1_gp0089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059296,BI036_gp128,BI036_gp128,MP1_gp0266,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20200910,-
1852628,29059297,BI036_gp152,BI036_gp152,MP1_gp0242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059298,BI036_gp097,BI036_gp097,MP1_gp0096,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20200910,-
1852628,29059299,BI036_gp250,BI036_gp250,MP1_gp0144,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200910,-
1852628,29059300,BI036_gp174,BI036_gp174,MP1_gp0220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059301,BI036_gp018,BI036_gp018,MP1_gp0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059302,BI036_gp125,BI036_gp125,MP1_gp0269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059303,BI036_gp032,BI036_gp032,MP1_gp0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852628,29059304,BI036_gp108,BI036_gp108,MP1_gp0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
