#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419762,55016094,HOV62_gp001,HOV62_gp001,MAR004NP2_00001,-,1,-,putative ssDNA-binding transcriptional regulator,protein-coding,-,-,-,putative ssDNA-binding transcriptional regulator,20210320,-
2419762,55016095,HOV62_gp002,HOV62_gp002,MAR004NP2_00002,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016096,HOV62_gp003,HOV62_gp003,MAR004NP2_00003,-,1,-,Escherichia virus T5 protein D3,protein-coding,-,-,-,Escherichia virus T5 protein D3,20201221,-
2419762,55016097,HOV62_gp004,HOV62_gp004,MAR004NP2_00004,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016098,HOV62_gp005,HOV62_gp005,MAR004NP2_00005,-,1,-,Escherichia virus T5 protein D2,protein-coding,-,-,-,Escherichia virus T5 protein D2,20201221,-
2419762,55016099,HOV62_gp006,HOV62_gp006,MAR004NP2_00006,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016100,HOV62_gp007,HOV62_gp007,MAR004NP2_00007,-,1,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20210403,-
2419762,55016101,HOV62_gp008,HOV62_gp008,MAR004NP2_00008,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016102,HOV62_gp009,HOV62_gp009,MAR004NP2_00009,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016103,HOV62_gp010,HOV62_gp010,MAR004NP2_00010,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419762,55016104,HOV62_gp011,HOV62_gp011,MAR004NP2_00011,-,1,-,NAD-dependent protein deacetylase of SIR2 family,protein-coding,-,-,-,NAD-dependent protein deacetylase of SIR2 family,20210403,-
