#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499025,55009963,2,HOU97_gp02,SEA_KENNA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2499025,55009964,3,HOU97_gp03,SEA_KENNA_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2499025,55009965,4,HOU97_gp04,SEA_KENNA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2499025,55009966,5,HOU97_gp05,SEA_KENNA_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2499025,55009967,6,HOU97_gp06,SEA_KENNA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2499025,55009968,7,HOU97_gp07,SEA_KENNA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2499025,55009969,8,HOU97_gp08,SEA_KENNA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009970,9,HOU97_gp09,SEA_KENNA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009971,10,HOU97_gp10,SEA_KENNA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009972,11,HOU97_gp11,SEA_KENNA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009973,12,HOU97_gp12,SEA_KENNA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009974,13,HOU97_gp13,SEA_KENNA_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2499025,55009975,14,HOU97_gp14,SEA_KENNA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009976,15,HOU97_gp15,SEA_KENNA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210212,-
2499025,55009977,16,HOU97_gp16,SEA_KENNA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009978,17,HOU97_gp17,SEA_KENNA_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210212,-
2499025,55009979,18,HOU97_gp18,SEA_KENNA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2499025,55009980,19,HOU97_gp19,SEA_KENNA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2499025,55009981,20,HOU97_gp20,SEA_KENNA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009982,21,HOU97_gp21,SEA_KENNA_21,-,-,-,"lysin A, protease M15 domain",protein-coding,-,-,-,"lysin A, protease M15 domain",20210212,-
2499025,55009983,22,HOU97_gp22,SEA_KENNA_22,-,-,-,lysin A glycosyl hydrolase domain,protein-coding,-,-,-,lysin A glycosyl hydrolase domain,20210212,-
2499025,55009984,23,HOU97_gp23,SEA_KENNA_23,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
