#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1042122,14008260,F390_gp02,F390_gp02,phi13O_gp2,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
1042122,14008261,F390_gp03,F390_gp03,phi13O_gp3,-,-,-,protein of unknown function DUF3310,protein-coding,-,-,-,protein of unknown function DUF3310,20201220,-
1042122,14008262,F390_gp04,F390_gp04,phi13O_gp4,-,-,-,phage portal protein SPP1,protein-coding,-,-,-,phage portal protein SPP1,20201220,-
1042122,14008263,F390_gp05,F390_gp05,phi13O_gp5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008264,F390_gp06,F390_gp06,phi13O_gp6,-,-,-,protein of unknown function DUF646,protein-coding,-,-,-,protein of unknown function DUF646,20201220,-
1042122,14008265,F390_gp07,F390_gp07,phi13O_gp7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008266,F390_gp08,F390_gp08,phi13O_gp8,-,-,-,3''-phosphoadenosine 5''-phosphosulfate sulfotransferase/FAD synthetase-related enzyme,protein-coding,-,-,-,3''-phosphoadenosine 5''-phosphosulfate sulfotransferase/FAD synthetase-related enzyme,20201220,-
1042122,14008267,F390_gp09,F390_gp09,phi13O_gp9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008268,F390_gp10,F390_gp10,phi13O_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008269,F390_gp11,F390_gp11,phi13O_gp11,-,-,-,predicted P-loop ATPase,protein-coding,-,-,-,predicted P-loop ATPase,20201220,-
1042122,14008270,F390_gp12,F390_gp12,phi13O_gp12,-,-,-,phage minor structural protein GP20,protein-coding,-,-,-,phage minor structural protein GP20,20201220,-
1042122,14008271,F390_gp13,F390_gp13,phi13O_gp13,-,-,-,P22 coat protein,protein-coding,-,-,-,P22 coat protein,20201220,-
1042122,14008272,F390_gp14,F390_gp14,phi13O_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
