#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1542477,26640048,psaC,AVU42_gp223,-,-,-,-,photosystem I iron-sulfur subunit VII,protein-coding,-,-,-,photosystem I iron-sulfur subunit VII,20201221,-
1542477,26640049,psaA,AVU42_gp224,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,protein-coding,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,20201221,-
1542477,26640050,psaB,AVU42_gp225,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A2,protein-coding,-,-,-,photosystem I P700 chlorophyll a apoprotein A2,20201221,-
1542477,26640051,psaK,AVU42_gp226,-,-,-,-,putative photosystem I reaction center subunit X,protein-coding,-,-,-,putative photosystem I reaction center subunit X,20201221,-
1542477,26640052,psaE,AVU42_gp227,-,-,-,-,photosystem I reaction center subunit IV,protein-coding,-,-,-,photosystem I reaction center subunit IV,20201221,-
1542477,26640053,AVU42_gp229,AVU42_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640054,psaD,AVU42_gp228,-,-,-,-,photosystem I reaction center subunit II,protein-coding,-,-,-,photosystem I reaction center subunit II,20201221,-
1542477,26640055,AVU42_gp231,AVU42_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640056,psbD,AVU42_gp233,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20201221,-
1542477,26640057,AVU42_gp234,AVU42_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640058,AVU42_gp002,AVU42_gp002,-,-,-,-,putative loader of DNA helicase,protein-coding,-,-,-,putative loader of DNA helicase,20201221,-
1542477,26640059,AVU42_gp003,AVU42_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640060,AVU42_gp004,AVU42_gp004,-,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20201221,-
1542477,26640061,AVU42_gp005,AVU42_gp005,-,-,-,-,putative base plate wedge component,protein-coding,-,-,-,putative base plate wedge component,20201221,-
1542477,26640062,AVU42_gp006,AVU42_gp006,-,-,-,-,putative baseplate tail tube cap,protein-coding,-,-,-,putative baseplate tail tube cap,20201221,-
1542477,26640063,AVU42_gp007,AVU42_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640064,AVU42_gp008,AVU42_gp008,-,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20201221,-
1542477,26640065,AVU42_gp009,AVU42_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640066,AVU42_gp010,AVU42_gp010,-,-,-,-,putative baseplate hub subunit,protein-coding,-,-,-,putative baseplate hub subunit,20201221,-
1542477,26640067,AVU42_gp011,AVU42_gp011,-,-,-,-,putative base plate hub assembly catalyst,protein-coding,-,-,-,putative base plate hub assembly catalyst,20201221,-
1542477,26640068,AVU42_gp012,AVU42_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640069,AVU42_gp013,AVU42_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640070,AVU42_gp014,AVU42_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640071,AVU42_gp015,AVU42_gp015,-,-,-,-,putative baseplate hub and tail lysozyme,protein-coding,-,-,-,putative baseplate hub and tail lysozyme,20201221,-
1542477,26640072,AVU42_gp016,AVU42_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640073,AVU42_gp017,AVU42_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640074,AVU42_gp018,AVU42_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640075,AVU42_gp019,AVU42_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640076,AVU42_gp020,AVU42_gp020,-,-,-,-,putative fiber protein,protein-coding,-,-,-,putative fiber protein,20201221,-
1542477,26640077,AVU42_gp021,AVU42_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640078,AVU42_gp022,AVU42_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640079,AVU42_gp023,AVU42_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640080,AVU42_gp024,AVU42_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640081,AVU42_gp025,AVU42_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640082,AVU42_gp026,AVU42_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640083,AVU42_gp027,AVU42_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640084,AVU42_gp028,AVU42_gp028,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1542477,26640085,AVU42_gp029,AVU42_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640086,AVU42_gp030,AVU42_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640087,AVU42_gp031,AVU42_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640088,AVU42_gp032,AVU42_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640089,AVU42_gp033,AVU42_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640090,AVU42_gp034,AVU42_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640091,AVU42_gp035,AVU42_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640092,AVU42_gp036,AVU42_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640093,AVU42_gp037,AVU42_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640094,AVU42_gp038,AVU42_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640095,AVU42_gp039,AVU42_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640096,AVU42_gp040,AVU42_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640097,AVU42_gp041,AVU42_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640098,AVU42_gp042,AVU42_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640099,AVU42_gp043,AVU42_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640100,AVU42_gp044,AVU42_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640101,AVU42_gp045,AVU42_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640102,AVU42_gp046,AVU42_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640103,AVU42_gp047,AVU42_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640104,AVU42_gp048,AVU42_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640105,AVU42_gp049,AVU42_gp049,-,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201221,-
1542477,26640106,AVU42_gp050,AVU42_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640107,AVU42_gp051,AVU42_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640108,AVU42_gp052,AVU42_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640109,AVU42_gp053,AVU42_gp053,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1542477,26640110,AVU42_gp054,AVU42_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640111,AVU42_gp055,AVU42_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640112,AVU42_gp056,AVU42_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640113,AVU42_gp057,AVU42_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640114,AVU42_gp058,AVU42_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640115,AVU42_gp059,AVU42_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640116,AVU42_gp060,AVU42_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640117,AVU42_gp061,AVU42_gp061,-,-,-,-,putative anti-restriction protein,protein-coding,-,-,-,putative anti-restriction protein,20201221,-
1542477,26640118,AVU42_gp062,AVU42_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640119,AVU42_gp063,AVU42_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640120,AVU42_gp064,AVU42_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640121,AVU42_gp065,AVU42_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640122,AVU42_gp066,AVU42_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640123,AVU42_gp067,AVU42_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640124,AVU42_gp068,AVU42_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640125,AVU42_gp069,AVU42_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640126,AVU42_gp070,AVU42_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640127,AVU42_gp071,AVU42_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640128,AVU42_gp072,AVU42_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640129,AVU42_gp073,AVU42_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640130,AVU42_gp074,AVU42_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640131,AVU42_gp075,AVU42_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640132,AVU42_gp076,AVU42_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640133,AVU42_gp077,AVU42_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640134,AVU42_gp078,AVU42_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640135,AVU42_gp079,AVU42_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640136,AVU42_gp080,AVU42_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640137,AVU42_gp081,AVU42_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
