#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1556289,26629255,2,PBI_CAPTAINTRIPS_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1556289,26629256,3,PBI_CAPTAINTRIPS_3,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1556289,26629257,4,PBI_CAPTAINTRIPS_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1556289,26629258,5,PBI_CAPTAINTRIPS_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1556289,26629259,6,PBI_CAPTAINTRIPS_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1556289,26629260,7,PBI_CAPTAINTRIPS_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1556289,26629261,8,PBI_CAPTAINTRIPS_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1556289,26629262,9,PBI_CAPTAINTRIPS_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1556289,26629263,10,PBI_CAPTAINTRIPS_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1556289,26629264,11,PBI_CAPTAINTRIPS_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1556289,26629265,12,PBI_CAPTAINTRIPS_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1556289,26629266,14,PBI_CAPTAINTRIPS_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1556289,26629267,15,PBI_CAPTAINTRIPS_15,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20210417,-
1556289,26629268,13,PBI_CAPTAINTRIPS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1556289,26629269,16,PBI_CAPTAINTRIPS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629270,17,PBI_CAPTAINTRIPS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629271,18,PBI_CAPTAINTRIPS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629272,19,PBI_CAPTAINTRIPS_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629273,20,PBI_CAPTAINTRIPS_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629274,21,PBI_CAPTAINTRIPS_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1556289,26629275,22,PBI_CAPTAINTRIPS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
