#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262536,16385441,N390_gp02,N390_gp02,jm3_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1262536,16385442,N390_gp03,N390_gp03,jm3_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262536,16385443,N390_gp04,N390_gp04,jm3_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1262536,16385444,N390_gp05,N390_gp05,jm3_005,-,-,-,putative head protease,protein-coding,-,-,-,putative head protease,20201221,-
1262536,16385445,N390_gp06,N390_gp06,jm3_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385446,N390_gp07,N390_gp07,jm3_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385447,N390_gp08,N390_gp08,jm3_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385448,N390_gp09,N390_gp09,jm3_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385449,N390_gp10,N390_gp10,jm3_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385450,N390_gp11,N390_gp11,jm3_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385451,N390_gp12,N390_gp12,jm3_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385452,N390_gp13,N390_gp13,jm3_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385453,N390_gp14,N390_gp14,jm3_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385454,N390_gp15,N390_gp15,jm3_0015,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201221,-
1262536,16385455,N390_gp16,N390_gp16,jm3_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385456,N390_gp17,N390_gp17,jm3_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385457,N390_gp18,N390_gp18,jm3_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385458,N390_gp19,N390_gp19,jm3_0019,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20201221,-
1262536,16385459,N390_gp20,N390_gp20,jm3_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385460,N390_gp21,N390_gp21,jm3_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385461,N390_gp22,N390_gp22,jm3_0022,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262536,16385462,N390_gp23,N390_gp23,jm3_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385463,N390_gp24,N390_gp24,jm3_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385464,N390_gp25,N390_gp25,jm3_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385465,N390_gp26,N390_gp26,jm3_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385466,N390_gp27,N390_gp27,jm3_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385467,N390_gp28,N390_gp28,jm3_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385468,N390_gp29,N390_gp29,jm3_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385469,N390_gp30,N390_gp30,jm3_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385470,N390_gp31,N390_gp31,jm3_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385471,N390_gp32,N390_gp32,jm3_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385472,N390_gp33,N390_gp33,jm3_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385473,N390_gp34,N390_gp34,jm3_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385474,N390_gp35,N390_gp35,jm3_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385475,N390_gp36,N390_gp36,jm3_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385476,N390_gp37,N390_gp37,jm3_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385477,N390_gp38,N390_gp38,jm3_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385478,N390_gp39,N390_gp39,jm3_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385479,N390_gp40,N390_gp40,jm3_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385480,N390_gp41,N390_gp41,jm3_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385481,N390_gp42,N390_gp42,jm3_0042,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1262536,16385482,N390_gp43,N390_gp43,jm3_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385483,N390_gp44,N390_gp44,jm3_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385484,N390_gp45,N390_gp45,jm3_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385485,N390_gp46,N390_gp46,jm3_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385486,N390_gp47,N390_gp47,jm3_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385487,N390_gp48,N390_gp48,jm3_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385488,N390_gp49,N390_gp49,jm3_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385489,N390_gp50,N390_gp50,jm3_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385490,N390_gp51,N390_gp51,jm3_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262536,16385491,N390_gp52,N390_gp52,jm3_0052,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262536,16385492,N390_gp01,N390_gp01,jm3_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1262536,16545710,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage jm3).,other,-,-,-,-,20200513,-
