#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913118,60328185,2,I5H34_gp002,PBI_EMPRESS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1913118,60328186,3,I5H34_gp003,PBI_EMPRESS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1913118,60328187,4,I5H34_gp004,PBI_EMPRESS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1913118,60328188,5,I5H34_gp005,PBI_EMPRESS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
1913118,60328189,6,I5H34_gp006,PBI_EMPRESS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1913118,60328190,7,I5H34_gp007,PBI_EMPRESS_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1913118,60328191,8,I5H34_gp008,PBI_EMPRESS_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1913118,60328192,9,I5H34_gp009,PBI_EMPRESS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1913118,60328193,10,I5H34_gp010,PBI_EMPRESS_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1913118,60328194,11,I5H34_gp011,PBI_EMPRESS_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
1913118,60328195,12,I5H34_gp012,PBI_EMPRESS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1913118,60328196,13,I5H34_gp013,PBI_EMPRESS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1913118,60328197,15,I5H34_gp015,PBI_EMPRESS_15,-,-,-,transposase DNA domain protein,protein-coding,-,-,-,transposase DNA domain protein,20210123,-
1913118,60328198,16,I5H34_gp016,PBI_EMPRESS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913118,60328199,17,I5H34_gp017,PBI_EMPRESS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
