#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2029064,65072581,KMD34_gp02,KMD34_gp02,-,-,-,-,NA+/K+ ATPase,protein-coding,-,-,-,NA+/K+ ATPase,20210607,-
2029064,65072582,KMD34_gp19,KMD34_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072583,KMD34_gp27,KMD34_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072584,KMD34_gp30,KMD34_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072585,KMD34_gp32,KMD34_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072586,KMD34_gp36,KMD34_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072587,terL,KMD34_gp39,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2029064,65072588,pro,KMD34_gp41,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210607,-
2029064,65072589,mcp,KMD34_gp42,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2029064,65072590,KMD34_gp43,KMD34_gp43,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210612,-
2029064,65072591,KMD34_gp48,KMD34_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072592,KMD34_gp53,KMD34_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2029064,65072593,ami,KMD34_gp62,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2029064,65072594,KMD34_gp63,KMD34_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072595,lukF-PV,KMD34_gp65,-,-,-,-,Panton-Valentine leukocidin chain F precursor,protein-coding,-,-,-,Panton-Valentine leukocidin chain F precursor,20210612,-
2029064,65072596,por,KMD34_gp40,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210609,-
2029064,65072597,KMD34_gp03,KMD34_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072598,KMD34_gp04,KMD34_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072599,KMD34_gp05,KMD34_gp05,-,-,-,-,toxin,protein-coding,-,-,-,toxin,20210607,-
2029064,65072600,KMD34_gp06,KMD34_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072601,KMD34_gp07,KMD34_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2029064,65072602,KMD34_gp08,KMD34_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072603,KMD34_gp09,KMD34_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072604,KMD34_gp10,KMD34_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072605,KMD34_gp11,KMD34_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072606,KMD34_gp12,KMD34_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072607,KMD34_gp13,KMD34_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2029064,65072608,KMD34_gp14,KMD34_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2029064,65072609,KMD34_gp15,KMD34_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072610,KMD34_gp16,KMD34_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2029064,65072611,KMD34_gp17,KMD34_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072612,polA,KMD34_gp18,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2029064,65072613,KMD34_gp20,KMD34_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072614,KMD34_gp21,KMD34_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2029064,65072615,KMD34_gp22,KMD34_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072616,KMD34_gp23,KMD34_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072617,KMD34_gp24,KMD34_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072618,KMD34_gp25,KMD34_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072619,dut,KMD34_gp26,-,-,-,-,2-deoxyuridine 5-triphosphate nucleotidohydrolase,protein-coding,-,-,-,2-deoxyuridine 5-triphosphate nucleotidohydrolase,20210607,-
2029064,65072620,KMD34_gp28,KMD34_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072621,rinB,KMD34_gp29,-,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210607,-
2029064,65072622,virE,KMD34_gp31,-,-,-,-,virulence protein E,protein-coding,-,-,-,virulence protein E,20210607,-
2029064,65072623,KMD34_gp33,KMD34_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072624,KMD34_gp34,KMD34_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072625,rinA,KMD34_gp35,-,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210612,-
2029064,65072626,KMD34_gp37,KMD34_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072627,terS,KMD34_gp38,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2029064,65072628,KMD34_gp44,KMD34_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072629,KMD34_gp45,KMD34_gp45,-,-,-,-,tail-associated protein,protein-coding,-,-,-,tail-associated protein,20210607,-
2029064,65072630,KMD34_gp46,KMD34_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
