#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099635,62362239,2,JMN78_gp02,SEA_MPLANT7149_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2099635,62362240,3,JMN78_gp03,SEA_MPLANT7149_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362241,4,JMN78_gp04,SEA_MPLANT7149_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362242,5,JMN78_gp05,SEA_MPLANT7149_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362243,6,JMN78_gp06,SEA_MPLANT7149_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362244,7,JMN78_gp07,SEA_MPLANT7149_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362245,8,JMN78_gp08,SEA_MPLANT7149_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2099635,62362246,9,JMN78_gp09,SEA_MPLANT7149_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2099635,62362247,10,JMN78_gp10,SEA_MPLANT7149_10,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2099635,62362248,11,JMN78_gp11,SEA_MPLANT7149_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2099635,62362249,12,JMN78_gp12,SEA_MPLANT7149_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2099635,62362250,13,JMN78_gp13,SEA_MPLANT7149_13,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2099635,62362251,14,JMN78_gp14,SEA_MPLANT7149_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2099635,62362252,15,JMN78_gp15,SEA_MPLANT7149_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362253,16,JMN78_gp16,SEA_MPLANT7149_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2099635,62362254,17,JMN78_gp17,SEA_MPLANT7149_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2099635,62362255,18,JMN78_gp18,SEA_MPLANT7149_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099635,62362256,19,JMN78_gp19,SEA_MPLANT7149_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2099635,62362257,20,JMN78_gp20,SEA_MPLANT7149_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2099635,62362258,21,JMN78_gp21,SEA_MPLANT7149_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099635,62362259,22,JMN78_gp22,SEA_MPLANT7149_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099635,62362260,24,JMN78_gp24,SEA_MPLANT7149_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099635,62362261,25,JMN78_gp25,SEA_MPLANT7149_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099635,62362262,26,JMN78_gp26,SEA_MPLANT7149_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099635,62362263,27,JMN78_gp27,SEA_MPLANT7149_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2099635,62362264,28,JMN78_gp28,SEA_MPLANT7149_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362265,29,JMN78_gp29,SEA_MPLANT7149_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
