#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
229533,3293533,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gibberella zeae PH-1).,other,-,-,-,-,20210522,-
229533,23547523,FGSG_00001,FGSG_00001,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547524,FGSG_00002,FGSG_00002,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547525,FGSG_00003,FGSG_00003,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547526,FGSG_00004,FGSG_00004,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160325,-
229533,23547527,FGSG_00005,FGSG_00005,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547528,FGSG_00006,FGSG_00006,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547529,FGSG_00007,FGSG_00007,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547530,FGSG_00009,FGSG_00009,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547531,FGSG_00010,FGSG_00010,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547532,FGSG_00011,FGSG_00011,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547533,FGSG_00012,FGSG_00012,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547534,FGSG_00013,FGSG_00013,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150718,-
229533,23547535,FGSG_00014,FGSG_00014,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547536,FGSG_00015,FGSG_00015,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547537,FGSG_00016,FGSG_00016,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547538,FGSG_00017,FGSG_00017,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547539,FGSG_00018,FGSG_00018,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547540,FGSG_00019,FGSG_00019,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547541,FGSG_00020,FGSG_00020,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547542,FGSG_00021,FGSG_00021,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547543,FGSG_00023,FGSG_00023,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547544,FGSG_00024,FGSG_00024,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547545,FGSG_00025,FGSG_00025,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547546,FGSG_00026,FGSG_00026,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547547,FGSG_00027,FGSG_00027,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547548,FGSG_00028,FGSG_00028,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547549,FGSG_00029,FGSG_00029,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547550,FGSG_00030,FGSG_00030,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547551,FGSG_00031,FGSG_00031,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547552,FGSG_00032,FGSG_00032,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547553,FGSG_00033,FGSG_00033,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547554,FGSG_00034,FGSG_00034,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547555,FGSG_00036,FGSG_00036,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547556,FGSG_00038,FGSG_00038,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547557,FGSG_00039,FGSG_00039,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547558,FGSG_00040,FGSG_00040,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
229533,23547559,FGSG_00043,FGSG_00043,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547560,FGSG_00044,FGSG_00044,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547561,FGSG_00045,FGSG_00045,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
229533,23547562,FGSG_00046,FGSG_00046,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
229533,23547563,FGSG_00047,FGSG_00047,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
229533,23547564,FGSG_00048,FGSG_00048,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547565,FGSG_00049,FGSG_00049,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
229533,23547566,FGSG_00050,FGSG_00050,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547567,FGSG_00051,FGSG_00051,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547568,FGSG_00052,FGSG_00052,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547569,FGSG_00053,FGSG_00053,-,-,1,-,aryl-alcohol dehydrogenase,protein-coding,-,-,-,-,20160325,-
229533,23547570,FGSG_00054,FGSG_00054,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547571,FGSG_00055,FGSG_00055,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547572,FGSG_00056,FGSG_00056,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547573,FGSG_00058,FGSG_00058,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547574,FGSG_00059,FGSG_00059,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547575,FGSG_00060,FGSG_00060,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547576,FGSG_00061,FGSG_00061,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547577,FGSG_00062,FGSG_00062,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547578,FGSG_00063,FGSG_00063,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547579,FGSG_00064,FGSG_00064,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547580,FGSG_00065,FGSG_00065,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547581,FGSG_00066,FGSG_00066,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
