#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283250,62359446,3,JMN46_gp03,SEA_ARLO_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2283250,62359447,4,JMN46_gp04,SEA_ARLO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359448,5,JMN46_gp05,SEA_ARLO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359449,6,JMN46_gp06,SEA_ARLO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359450,7,JMN46_gp07,SEA_ARLO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359451,8,JMN46_gp08,SEA_ARLO_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2283250,62359452,9,JMN46_gp09,SEA_ARLO_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2283250,62359453,10,JMN46_gp10,SEA_ARLO_10,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2283250,62359454,11,JMN46_gp11,SEA_ARLO_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2283250,62359455,12,JMN46_gp12,SEA_ARLO_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2283250,62359456,13,JMN46_gp13,SEA_ARLO_13,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2283250,62359457,14,JMN46_gp14,SEA_ARLO_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2283250,62359458,15,JMN46_gp15,SEA_ARLO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359459,16,JMN46_gp16,SEA_ARLO_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2283250,62359460,17,JMN46_gp17,SEA_ARLO_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2283250,62359461,18,JMN46_gp18,SEA_ARLO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283250,62359462,19,JMN46_gp19,SEA_ARLO_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2283250,62359463,20,JMN46_gp20,SEA_ARLO_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2283250,62359464,22,JMN46_gp21,SEA_ARLO_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2283250,62359465,23,JMN46_gp23,SEA_ARLO_23,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2283250,62359466,21,JMN46_gp22,SEA_ARLO_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2283250,62359467,24,JMN46_gp24,SEA_ARLO_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283250,62359468,25,JMN46_gp25,SEA_ARLO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359469,26,JMN46_gp26,SEA_ARLO_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283250,62359470,27,JMN46_gp27,SEA_ARLO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283250,62359471,28,JMN46_gp28,SEA_ARLO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359472,29,JMN46_gp29,SEA_ARLO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359473,30,JMN46_gp30,SEA_ARLO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283250,62359474,31,JMN46_gp31,SEA_ARLO_31,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210417,-
2283250,62359475,32,JMN46_gp32,SEA_ARLO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359476,33,JMN46_gp33,SEA_ARLO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359477,34,JMN46_gp34,SEA_ARLO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359478,35,JMN46_gp35,SEA_ARLO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359479,36,JMN46_gp36,SEA_ARLO_36,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2283250,62359480,37,JMN46_gp37,SEA_ARLO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359481,38,JMN46_gp38,SEA_ARLO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359482,39,JMN46_gp39,SEA_ARLO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359483,40,JMN46_gp40,SEA_ARLO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359484,42,JMN46_gp42,SEA_ARLO_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2283250,62359485,43,JMN46_gp43,SEA_ARLO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359486,44,JMN46_gp44,SEA_ARLO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359487,45,JMN46_gp45,SEA_ARLO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359488,46,JMN46_gp46,SEA_ARLO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283250,62359489,47,JMN46_gp47,SEA_ARLO_47,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210123,-
