#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5476,3974672,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida albicans var. stellatoidea; Candida stellatoidea; Dematium albicans; Endomyces albicans; Monilia albicans; Monilia stellatoidea; Myceloblastanon albicans; Mycotorula albicans; Oidium albicans; Parasaccharomyces albicans; Procandida albicans; Procandida stellatoidea; Saccharomyces albicans; Syringospora albicans).,other,-,-,-,-,20210417,-
5476,13080320,NAD3,A568_p06,-,-,MT,-,NAD3,protein-coding,-,-,-,NAD3|NADH dehydrogenase subunit 3,20180130,-
5476,13080321,COB,A568_p05,-,-,MT,-,COB,protein-coding,-,-,-,COB|cytochrome b,20180130,-
5476,13080322,rns,A568_r01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20180130,-
5476,13080323,NAD4L,A568_p04,-,-,MT,-,NAD4L,protein-coding,-,-,-,NAD4L|NADH dehydrogenase subunit 4L,20180130,-
5476,13080324,NAD5,A568_p03,-,-,MT,-,NAD5,protein-coding,-,-,-,NAD5|NADH dehydrogenase subunit 5,20180130,-
5476,13080325,NAD4,A568_p02,-,-,MT,-,NAD4,protein-coding,-,-,-,NAD4|NADH dehydrogenase subunit 4,20180130,-
5476,13080326,COX3b,A568_p01,-,-,MT,-,COX3b,protein-coding,-,-,-,COX3b|cytochrome c oxidase subunit 3,20180130,-
5476,13080327,rnl,A568_r02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20180130,-
5476,13080328,COX2,A568_p14,-,-,MT,-,COX2,protein-coding,-,-,-,COX2|cytochrome c oxidase subunit 2,20180130,-
5476,13080329,NAD6,A568_p13,-,-,MT,-,NAD6,protein-coding,-,-,-,NAD6|NADH dehydrogenase subunit 6,20180130,-
5476,13080330,NAD1,A568_p12,-,-,MT,-,NAD1,protein-coding,-,-,-,NAD1|NADH dehydrogenase subunit 1,20180130,-
5476,13080331,ATP9,A568_p11,-,-,MT,-,ATPse 9,protein-coding,-,-,-,ATPse 9|ATPase subunit 9,20210417,-
5476,13080332,ATP6,A568_p10,-,-,MT,-,ATP6,protein-coding,-,-,-,ATP6|ATPase subunit 6,20180130,-
5476,13080333,ATP8,A568_p09,-,-,MT,-,ATP8,protein-coding,-,-,-,ATP8|ATPase subunit 8,20180130,-
5476,13080334,COX1,A568_p08,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20180130,-
5476,13080335,NAD2,A568_p07,-,-,MT,-,NAD2,protein-coding,-,-,-,NAD2|NADH dehydrogenase subunit 2,20180130,-
5476,13083854,A568_t04,A568_t04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083855,A568_t06,A568_t06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083856,A568_t07,A568_t07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083857,A568_t08,A568_t08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083858,A568_t09,A568_t09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083859,A568_t11,A568_t11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083860,A568_t16,A568_t16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083861,A568_t17,A568_t17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083862,A568_t20,A568_t20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083863,A568_t21,A568_t21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083864,A568_t01,A568_t01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083865,A568_t02,A568_t02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083866,A568_t03,A568_t03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083867,A568_t19,A568_t19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083868,A568_t05,A568_t05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083869,A568_t10,A568_t10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083870,A568_t12,A568_t12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083871,A568_t13,A568_t13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083872,A568_t14,A568_t14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083873,A568_t15,A568_t15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083874,A568_t18,A568_t18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083875,A568_t23,A568_t23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083876,A568_t24,A568_t24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5476,13083877,A568_t22,A568_t22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
