#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
611,13998209,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella heidelberg).,other,-,-,-,-,20180526,-
611,39497450,C7X11_RS24225,C7X11_RS24225,C7X11_24740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497455,C7X11_RS24255,C7X11_RS24255,C7X11_24770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497462,C7X11_RS24630,C7X11_RS24630,C7X11_25155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497482,C7X11_RS24210,C7X11_RS24210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497558,C7X11_RS24425,C7X11_RS24425,C7X11_24945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497592,C7X11_RS24120,C7X11_RS24120,C7X11_24640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497598,C7X11_RS24890,C7X11_RS24890,C7X11_25420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
611,39497601,C7X11_RS25055,C7X11_RS25055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497605,C7X11_RS24915,C7X11_RS24915,C7X11_25445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
611,39497649,C7X11_RS24810,C7X11_RS24810,C7X11_25335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497655,DXF95_RS23710,DXF95_RS23710,DXF95_24290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497663,DXF95_RS23705,DXF95_RS23705,DXF95_24285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497694,DXF95_RS23750,DXF95_RS23750,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497702,DXF95_RS24720,DXF95_RS24720,DXF95_25325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497724,DXF95_RS23860,DXF95_RS23860,DXF95_24445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497733,DXF95_RS24055,DXF95_RS24055,DXF95_24640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497761,DXF95_RS23985,DXF95_RS23985,DXF95_24570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497768,DXF95_RS24105,DXF95_RS24105,DXF95_24690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497771,DXF95_RS24695,DXF95_RS24695,DXF95_25300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
611,39497775,DXF95_RS24235,DXF95_RS24235,DXF95_24820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497779,DXF95_RS24070,DXF95_RS24070,DXF95_24655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497783,DXF95_RS24615,DXF95_RS24615,DXF95_25210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
611,39497787,DXF95_RS24575,DXF95_RS24575,DXF95_25160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497788,DXF95_RS24135,DXF95_RS24135,DXF95_24720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497793,DXF95_RS24140,DXF95_RS24140,DXF95_24725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497800,DXF95_RS23840,DXF95_RS23840,DXF95_24420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497820,DXF95_RS24000,DXF95_RS24000,DXF95_24585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497821,DXF95_RS24180,DXF95_RS24180,DXF95_24765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497822,DXF95_RS24145,DXF95_RS24145,DXF95_24730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497836,DXF95_RS24620,DXF95_RS24620,DXF95_25220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497837,DXF95_RS24225,DXF95_RS24225,DXF95_24810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497840,DXF95_RS24605,DXF95_RS24605,DXF95_25200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497845,DXF95_RS24165,DXF95_RS24165,DXF95_24750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497850,DXF95_RS24230,DXF95_RS24230,DXF95_24815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497861,DXF95_RS24115,DXF95_RS24115,DXF95_24700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497877,DXF95_RS24065,DXF95_RS24065,DXF95_24650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497884,DXF95_RS24125,DXF95_RS24125,DXF95_24710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497885,DXF95_RS24005,DXF95_RS24005,DXF95_24590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497888,DXF95_RS24385,DXF95_RS24385,DXF95_24970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497889,DXF95_RS24690,DXF95_RS24690,DXF95_25295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497907,DXF95_RS23980,DXF95_RS23980,DXF95_24565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
611,39497911,DXF95_RS24060,DXF95_RS24060,DXF95_24645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
611,39497913,DXF95_RS23990,DXF95_RS23990,DXF95_24575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
