#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163598,55608162,2,HWB60_gp002,SEA_TCHEN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2163598,55608163,3,HWB60_gp003,SEA_TCHEN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2163598,55608164,4,HWB60_gp004,SEA_TCHEN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200620,-
2163598,55608165,5,HWB60_gp005,SEA_TCHEN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2163598,55608166,6,HWB60_gp006,SEA_TCHEN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608167,7,HWB60_gp007,SEA_TCHEN_7,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
2163598,55608168,8,HWB60_gp008,SEA_TCHEN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608169,9,HWB60_gp009,SEA_TCHEN_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2163598,55608170,10,HWB60_gp010,SEA_TCHEN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608171,11,HWB60_gp011,SEA_TCHEN_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2163598,55608172,12,HWB60_gp012,SEA_TCHEN_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200620,-
2163598,55608173,14,HWB60_gp013,SEA_TCHEN_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2163598,55608174,15,HWB60_gp015,SEA_TCHEN_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2163598,55608175,13,HWB60_gp014,SEA_TCHEN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2163598,55608176,16,HWB60_gp016,SEA_TCHEN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2163598,55608177,17,HWB60_gp017,SEA_TCHEN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2163598,55608178,18,HWB60_gp018,SEA_TCHEN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2163598,55608179,19,HWB60_gp019,SEA_TCHEN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2163598,55608180,20,HWB60_gp020,SEA_TCHEN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2163598,55608181,21,HWB60_gp021,SEA_TCHEN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608182,22,HWB60_gp022,SEA_TCHEN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
