#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059882,64471057,KGG77_gp02,KGG77_gp02,SEA_OMAR_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2059882,64471058,KGG77_gt01,KGG77_gt01,SEA_OMAR_3,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2059882,64471059,KGG77_gp80,KGG77_gp80,SEA_OMAR_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471060,KGG77_gp79,KGG77_gp79,SEA_OMAR_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2059882,64471061,KGG77_gp78,KGG77_gp78,SEA_OMAR_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471062,KGG77_gp77,KGG77_gp77,SEA_OMAR_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2059882,64471063,KGG77_gp76,KGG77_gp76,SEA_OMAR_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2059882,64471064,KGG77_gp75,KGG77_gp75,SEA_OMAR_9,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210505,-
2059882,64471065,KGG77_gp74,KGG77_gp74,SEA_OMAR_10,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2059882,64471066,KGG77_gp73,KGG77_gp73,SEA_OMAR_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2059882,64471067,KGG77_gp72,KGG77_gp72,SEA_OMAR_12,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2059882,64471068,KGG77_gp71,KGG77_gp71,SEA_OMAR_13,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2059882,64471069,KGG77_gp70,KGG77_gp70,SEA_OMAR_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471070,KGG77_gp69,KGG77_gp69,SEA_OMAR_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2059882,64471071,KGG77_gp68,KGG77_gp68,SEA_OMAR_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2059882,64471072,KGG77_gp66,KGG77_gp66,SEA_OMAR_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2059882,64471073,KGG77_gp65,KGG77_gp65,SEA_OMAR_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2059882,64471074,KGG77_gp67,KGG77_gp67,SEA_OMAR_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2059882,64471075,KGG77_gp64,KGG77_gp64,SEA_OMAR_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2059882,64471076,KGG77_gp63,KGG77_gp63,SEA_OMAR_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2059882,64471077,KGG77_gp62,KGG77_gp62,SEA_OMAR_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471078,KGG77_gp61,KGG77_gp61,SEA_OMAR_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2059882,64471079,KGG77_gp60,KGG77_gp60,SEA_OMAR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471080,KGG77_gp59,KGG77_gp59,SEA_OMAR_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2059882,64471081,KGG77_gp58,KGG77_gp58,SEA_OMAR_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471082,KGG77_gp57,KGG77_gp57,SEA_OMAR_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2059882,64471083,KGG77_gp56,KGG77_gp56,SEA_OMAR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471084,KGG77_gp55,KGG77_gp55,SEA_OMAR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471085,KGG77_gp54,KGG77_gp54,SEA_OMAR_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2059882,64471086,KGG77_gp53,KGG77_gp53,SEA_OMAR_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471087,KGG77_gp52,KGG77_gp52,SEA_OMAR_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2059882,64471088,KGG77_gp51,KGG77_gp51,SEA_OMAR_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471089,KGG77_gp50,KGG77_gp50,SEA_OMAR_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471090,KGG77_gp49,KGG77_gp49,SEA_OMAR_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471091,KGG77_gp48,KGG77_gp48,SEA_OMAR_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471092,KGG77_gp47,KGG77_gp47,SEA_OMAR_37,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2059882,64471093,KGG77_gp46,KGG77_gp46,SEA_OMAR_38,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2059882,64471094,KGG77_gp45,KGG77_gp45,SEA_OMAR_39,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2059882,64471095,KGG77_gp44,KGG77_gp44,SEA_OMAR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471096,KGG77_gp43,KGG77_gp43,SEA_OMAR_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2059882,64471097,KGG77_gp42,KGG77_gp42,SEA_OMAR_42,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2059882,64471098,KGG77_gp41,KGG77_gp41,SEA_OMAR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471099,KGG77_gp40,KGG77_gp40,SEA_OMAR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471100,KGG77_gp39,KGG77_gp39,SEA_OMAR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471101,KGG77_gp38,KGG77_gp38,SEA_OMAR_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2059882,64471102,KGG77_gp37,KGG77_gp37,SEA_OMAR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471103,KGG77_gp36,KGG77_gp36,SEA_OMAR_48,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2059882,64471104,KGG77_gp35,KGG77_gp35,SEA_OMAR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471105,KGG77_gp34,KGG77_gp34,SEA_OMAR_50,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2059882,64471106,KGG77_gp33,KGG77_gp33,SEA_OMAR_51,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210505,-
2059882,64471107,KGG77_gp32,KGG77_gp32,SEA_OMAR_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471108,KGG77_gp31,KGG77_gp31,SEA_OMAR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
