#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599882,63209672,2,J4T98_gp002,PBI_TOURACH_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2599882,63209673,3,J4T98_gp003,PBI_TOURACH_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209674,4,J4T98_gp004,PBI_TOURACH_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210322,-
2599882,63209675,5,J4T98_gp005,PBI_TOURACH_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210322,-
2599882,63209676,6,J4T98_gp006,PBI_TOURACH_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210322,-
2599882,63209677,7,J4T98_gp007,PBI_TOURACH_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210322,-
2599882,63209678,8,J4T98_gp008,PBI_TOURACH_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210322,-
2599882,63209679,9,J4T98_gp009,PBI_TOURACH_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210322,-
2599882,63209680,10,J4T98_gp010,PBI_TOURACH_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210322,-
2599882,63209681,11,J4T98_gp011,PBI_TOURACH_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209682,12,J4T98_gp012,PBI_TOURACH_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210322,-
2599882,63209683,13,J4T98_gp013,PBI_TOURACH_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210322,-
2599882,63209684,15,J4T98_gp014,PBI_TOURACH_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2599882,63209685,16,J4T98_gp016,PBI_TOURACH_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210322,-
2599882,63209686,14,J4T98_gp015,PBI_TOURACH_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2599882,63209687,17,J4T98_gp017,PBI_TOURACH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2599882,63209688,18,J4T98_gp018,PBI_TOURACH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2599882,63209689,19,J4T98_gp019,PBI_TOURACH_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209690,20,J4T98_gp020,PBI_TOURACH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2599882,63209691,21,J4T98_gp021,PBI_TOURACH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209692,22,J4T98_gp022,PBI_TOURACH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209693,23,J4T98_gp023,PBI_TOURACH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209694,24,J4T98_gp024,PBI_TOURACH_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2599882,63209695,25,J4T98_gp025,PBI_TOURACH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209696,27,J4T98_gp027,PBI_TOURACH_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210322,-
2599882,63209697,28,J4T98_gp028,PBI_TOURACH_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210322,-
2599882,63209698,29,J4T98_gp029,PBI_TOURACH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209699,30,J4T98_gp030,PBI_TOURACH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209700,31,J4T98_gp031,PBI_TOURACH_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209701,32,J4T98_gp032,PBI_TOURACH_32,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210322,-
2599882,63209702,33,J4T98_gp033,PBI_TOURACH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209703,34,J4T98_gp034,PBI_TOURACH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209704,35,J4T98_gp035,PBI_TOURACH_35,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210322,-
2599882,63209705,36,J4T98_gp036,PBI_TOURACH_36,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210322,-
2599882,63209706,37,J4T98_gp037,PBI_TOURACH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209707,38,J4T98_gp038,PBI_TOURACH_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210322,-
2599882,63209708,39,J4T98_gp039,PBI_TOURACH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209709,40,J4T98_gp040,PBI_TOURACH_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210322,-
2599882,63209710,41,J4T98_gp041,PBI_TOURACH_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210322,-
2599882,63209711,42,J4T98_gp042,PBI_TOURACH_42,-,-,-,excise,protein-coding,-,-,-,excise,20210322,-
2599882,63209712,43,J4T98_gp043,PBI_TOURACH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209713,44,J4T98_gp044,PBI_TOURACH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209714,45,J4T98_gp045,PBI_TOURACH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209715,46,J4T98_gp046,PBI_TOURACH_46,-,-,-,esterase,protein-coding,-,-,-,esterase,20210322,-
2599882,63209716,47,J4T98_gp047,PBI_TOURACH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209717,48,J4T98_gp048,PBI_TOURACH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209718,49,J4T98_gp049,PBI_TOURACH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209719,50,J4T98_gp050,PBI_TOURACH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209720,51,J4T98_gp051,PBI_TOURACH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209721,52,J4T98_gp052,PBI_TOURACH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209722,53,J4T98_gp053,PBI_TOURACH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209723,54,J4T98_gp054,PBI_TOURACH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209724,55,J4T98_gp055,PBI_TOURACH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209725,56,J4T98_gp056,PBI_TOURACH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209726,57,J4T98_gp057,PBI_TOURACH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209727,58,J4T98_gp058,PBI_TOURACH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
