#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419970,55006849,2,HOU52_gp02,PBI_YANG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419970,55006850,3,HOU52_gp03,PBI_YANG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419970,55006851,4,HOU52_gp04,PBI_YANG_4,-,-,-,ADP-ribosyltransferase domain and MuF-like fusion protein,protein-coding,-,-,-,ADP-ribosyltransferase domain and MuF-like fusion protein,20210403,-
2419970,55006852,5,HOU52_gp05,PBI_YANG_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006853,6,HOU52_gp06,PBI_YANG_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2419970,55006854,7,HOU52_gp07,PBI_YANG_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419970,55006855,8,HOU52_gp08,PBI_YANG_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419970,55006856,9,HOU52_gp09,PBI_YANG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006857,10,HOU52_gp10,PBI_YANG_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419970,55006858,11,HOU52_gp11,PBI_YANG_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006859,12,HOU52_gp12,PBI_YANG_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419970,55006860,13,HOU52_gp13,PBI_YANG_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419970,55006861,15,HOU52_gp14,PBI_YANG_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419970,55006862,16,HOU52_gp16,PBI_YANG_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419970,55006863,17,HOU52_gp17,PBI_YANG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2419970,55006864,18,HOU52_gp18,PBI_YANG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419970,55006865,19,HOU52_gp19,PBI_YANG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419970,55006866,20,HOU52_gp20,PBI_YANG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419970,55006867,21,HOU52_gp21,PBI_YANG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006868,22,HOU52_gp22,PBI_YANG_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006869,23,HOU52_gp23,PBI_YANG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006870,24,HOU52_gp24,PBI_YANG_24,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210403,-
2419970,55006871,25,HOU52_gp25,PBI_YANG_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006872,26,HOU52_gp26,PBI_YANG_26,-,-,-,RepA-like helicase,protein-coding,-,-,-,RepA-like helicase,20201221,-
2419970,55006873,27,HOU52_gp27,PBI_YANG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006874,28,HOU52_gp28,PBI_YANG_28,-,-,-,CMP N-glycosidase,protein-coding,-,-,-,CMP N-glycosidase,20210403,-
2419970,55006875,29,HOU52_gp29,PBI_YANG_29,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2419970,55006876,30,HOU52_gp30,PBI_YANG_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419970,55006877,31,HOU52_gp31,PBI_YANG_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006878,32,HOU52_gp32,PBI_YANG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006879,33,HOU52_gp33,PBI_YANG_33,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210403,-
2419970,55006880,34,HOU52_gp34,PBI_YANG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006881,35,HOU52_gp35,PBI_YANG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006882,36,HOU52_gp36,PBI_YANG_36,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2419970,55006883,37,HOU52_gp37,PBI_YANG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006884,39,HOU52_gp39,PBI_YANG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006885,40,HOU52_gp40,PBI_YANG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006886,41,HOU52_gp41,PBI_YANG_41,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
