#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2508071,55613977,HWC07_gp002,HWC07_gp002,LIET2_gp002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2508071,55613978,HWC07_gp003,HWC07_gp003,LIET2_gp003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613979,HWC07_gp004,HWC07_gp004,LIET2_gp004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613980,HWC07_gp005,HWC07_gp005,LIET2_gp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613981,HWC07_gp006,HWC07_gp006,LIET2_gp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613982,HWC07_gp007,HWC07_gp007,LIET2_gp007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613983,HWC07_gp008,HWC07_gp008,LIET2_gp008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613984,HWC07_gp009,HWC07_gp009,LIET2_gp009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613985,HWC07_gp010,HWC07_gp010,LIET2_gp010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613986,HWC07_gp011,HWC07_gp011,LIET2_gp011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613987,HWC07_gp012,HWC07_gp012,LIET2_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613988,HWC07_gp013,HWC07_gp013,LIET2_gp013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613989,HWC07_gp014,HWC07_gp014,LIET2_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613990,HWC07_gp015,HWC07_gp015,LIET2_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613991,HWC07_gp016,HWC07_gp016,LIET2_gp016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613992,HWC07_gp017,HWC07_gp017,LIET2_gp017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613993,HWC07_gp018,HWC07_gp018,LIET2_gp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613994,HWC07_gp019,HWC07_gp019,LIET2_gp019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2508071,55613995,HWC07_gp020,HWC07_gp020,LIET2_gp020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613996,HWC07_gp021,HWC07_gp021,LIET2_gp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613997,HWC07_gp022,HWC07_gp022,LIET2_gp022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55613998,HWC07_gp023,HWC07_gp023,LIET2_gp023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2508071,55613999,HWC07_gp024,HWC07_gp024,LIET2_gp024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614000,HWC07_gp025,HWC07_gp025,LIET2_gp025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614001,HWC07_gp026,HWC07_gp026,LIET2_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614002,HWC07_gp027,HWC07_gp027,LIET2_gp027,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210425,-
2508071,55614003,HWC07_gp028,HWC07_gp028,LIET2_gp028,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210424,-
2508071,55614004,HWC07_gp029,HWC07_gp029,LIET2_gp029,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210424,-
2508071,55614005,HWC07_gp030,HWC07_gp030,LIET2_gp030,-,-,-,Ig-like domain-containing structural protein,protein-coding,-,-,-,Ig-like domain-containing structural protein,20210427,-
2508071,55614006,HWC07_gp031,HWC07_gp031,LIET2_gp031,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2508071,55614007,HWC07_gp032,HWC07_gp032,LIET2_gp032,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2508071,55614008,HWC07_gp033,HWC07_gp033,LIET2_gp033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614009,HWC07_gp034,HWC07_gp034,LIET2_gp034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614010,HWC07_gp035,HWC07_gp035,LIET2_gp035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614011,HWC07_gp036,HWC07_gp036,LIET2_gp036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614012,HWC07_gp037,HWC07_gp037,LIET2_gp037,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200620,-
2508071,55614013,HWC07_gp038,HWC07_gp038,LIET2_gp038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614014,HWC07_gp039,HWC07_gp039,LIET2_gp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614015,HWC07_gp040,HWC07_gp040,LIET2_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614016,HWC07_gp041,HWC07_gp041,LIET2_gp041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614017,HWC07_gp042,HWC07_gp042,LIET2_gp042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614018,HWC07_gp043,HWC07_gp043,LIET2_gp043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614019,HWC07_gp044,HWC07_gp044,LIET2_gp044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614020,HWC07_gp045,HWC07_gp045,LIET2_gp045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614021,HWC07_gp046,HWC07_gp046,LIET2_gp046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614022,HWC07_gp047,HWC07_gp047,LIET2_gp047,-,-,-,polynucleotide 5' kinase/3' phosphatase,protein-coding,-,-,-,polynucleotide 5' kinase/3' phosphatase,20210424,-
2508071,55614023,HWC07_gp048,HWC07_gp048,LIET2_gp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614024,HWC07_gp049,HWC07_gp049,LIET2_gp049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614025,HWC07_gp050,HWC07_gp050,LIET2_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614026,HWC07_gp051,HWC07_gp051,LIET2_gp051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614027,HWC07_gp052,HWC07_gp052,LIET2_gp052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614028,HWC07_gp053,HWC07_gp053,LIET2_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614029,HWC07_gp054,HWC07_gp054,LIET2_gp054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614030,HWC07_gp055,HWC07_gp055,LIET2_gp055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614031,HWC07_gp056,HWC07_gp056,LIET2_gp056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614032,HWC07_gp057,HWC07_gp057,LIET2_gp057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614033,HWC07_gp058,HWC07_gp058,LIET2_gp058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614034,HWC07_gp059,HWC07_gp059,LIET2_gp059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614035,HWC07_gp060,HWC07_gp060,LIET2_gp060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614036,HWC07_gp061,HWC07_gp061,LIET2_gp061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614037,HWC07_gp062,HWC07_gp062,LIET2_gp062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614038,HWC07_gp063,HWC07_gp063,LIET2_gp063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
