#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2729575,62681142,JT331_gp02,JT331_gp02,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
2729575,62681143,JT331_gp03,JT331_gp03,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210215,-
2729575,62681144,JT331_gp04,JT331_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681145,JT331_gp05,JT331_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681146,JT331_gp06,JT331_gp06,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210327,-
2729575,62681147,JT331_gp07,JT331_gp07,-,-,-,-,DNA polymerase I family A,protein-coding,-,-,-,DNA polymerase I family A,20210327,-
2729575,62681148,JT331_gp08,JT331_gp08,-,-,-,-,putative VRR-NUC domain-containing protein,protein-coding,-,-,-,putative VRR-NUC domain-containing protein,20210327,-
2729575,62681149,JT331_gp09,JT331_gp09,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
2729575,62681150,JT331_gp10,JT331_gp10,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210327,-
2729575,62681151,JT331_gp11,JT331_gp11,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2729575,62681152,JT331_gp12,JT331_gp12,-,-,-,-,putative head-to-tail joining protein,protein-coding,-,-,-,putative head-to-tail joining protein,20210327,-
2729575,62681153,JT331_gp13,JT331_gp13,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
2729575,62681154,JT331_gp14,JT331_gp14,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210327,-
2729575,62681155,JT331_gp15,JT331_gp15,-,-,-,-,decorator protein D,protein-coding,-,-,-,decorator protein D,20210327,-
2729575,62681156,JT331_gp16,JT331_gp16,-,-,-,-,major capsid protein E,protein-coding,-,-,-,major capsid protein E,20210327,-
2729575,62681157,JT331_gp17,JT331_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681158,JT331_gp18,JT331_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681159,JT331_gp19,JT331_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681160,JT331_gp20,JT331_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681161,JT331_gp21,JT331_gp21,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210327,-
2729575,62681162,JT331_gp22,JT331_gp22,-,-,-,-,pre-tape measure frameshift protein,protein-coding,-,-,-,pre-tape measure frameshift protein,20210215,-
2729575,62681163,JT331_gp23,JT331_gp23,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20210327,-
2729575,62681164,JT331_gp24,JT331_gp24,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
2729575,62681165,JT331_gp25,JT331_gp25,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210327,-
2729575,62681166,JT331_gp26,JT331_gp26,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
2729575,62681167,JT331_gp27,JT331_gp27,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
2729575,62681168,JT331_gp28,JT331_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681169,JT331_gp29,JT331_gp29,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210327,-
2729575,62681170,JT331_gp30,JT331_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681171,JT331_gp31,JT331_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681172,JT331_gp32,JT331_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681173,JT331_gp33,JT331_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681174,JT331_gp34,JT331_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681175,JT331_gp35,JT331_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681176,JT331_gp36,JT331_gp36,-,-,-,-,putative lysis protein B,protein-coding,-,-,-,putative lysis protein B,20210215,-
2729575,62681177,JT331_gp37,JT331_gp37,-,-,-,-,lysis protein A,protein-coding,-,-,-,lysis protein A,20210327,-
2729575,62681178,JT331_gp38,JT331_gp38,-,-,-,-,putative Rz1 protein,protein-coding,-,-,-,putative Rz1 protein,20210215,-
2729575,62681179,JT331_gp39,JT331_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681180,JT331_gp40,JT331_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681181,JT331_gp41,JT331_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681182,JT331_gp42,JT331_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681183,JT331_gp43,JT331_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681184,JT331_gp44,JT331_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681185,JT331_gp45,JT331_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681186,JT331_gp46,JT331_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681187,JT331_gp47,JT331_gp47,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20210327,-
2729575,62681188,JT331_gp48,JT331_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681189,JT331_gp49,JT331_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681190,JT331_gp50,JT331_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681191,JT331_gp51,JT331_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681192,JT331_gp52,JT331_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681193,JT331_gp53,JT331_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681194,JT331_gp54,JT331_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681195,JT331_gp55,JT331_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681196,JT331_gp56,JT331_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681197,JT331_gp57,JT331_gp57,-,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20210327,-
2729575,62681198,JT331_gp58,JT331_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681199,JT331_gp59,JT331_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681200,JT331_gp60,JT331_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681201,JT331_gp61,JT331_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681202,JT331_gp62,JT331_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681203,JT331_gp63,JT331_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681204,JT331_gp64,JT331_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681205,JT331_gp65,JT331_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681206,JT331_gp66,JT331_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2729575,62681207,JT331_gp67,JT331_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681208,JT331_gp68,JT331_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681209,JT331_gp69,JT331_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681210,JT331_gp70,JT331_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681211,JT331_gp71,JT331_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681212,JT331_gp72,JT331_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681213,JT331_gp73,JT331_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681214,JT331_gp74,JT331_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681215,JT331_gp75,JT331_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2729575,62681216,JT331_gp76,JT331_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
