#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696389,56134204,H1N93_gp02,H1N93_gp02,damhaus_2,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2696389,56134205,H1N93_gp03,H1N93_gp03,damhaus_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696389,56134206,H1N93_gp04,H1N93_gp04,damhaus_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696389,56134207,H1N93_gp05,H1N93_gp05,damhaus_5,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210313,-
2696389,56134208,H1N93_gp06,H1N93_gp06,damhaus_6,-,-,-,TfmS,protein-coding,-,-,-,TfmS,20200905,-
2696389,56134209,H1N93_gp07,H1N93_gp07,damhaus_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696389,56134210,H1N93_gp08,H1N93_gp08,damhaus_8,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210313,-
2696389,56134211,H1N93_gp09,H1N93_gp09,damhaus_9,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210313,-
2696389,56134212,H1N93_gp10,H1N93_gp10,damhaus_10,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696389,56134213,H1N93_gp11,H1N93_gp11,damhaus_11,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210313,-
2696389,56134214,H1N93_gp12,H1N93_gp12,damhaus_12,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
2696389,56134215,H1N93_gp13,H1N93_gp13,damhaus_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696389,56134216,H1N93_gp14,H1N93_gp14,damhaus_14,-,-,-,putative membrane associated protein,protein-coding,-,-,-,putative membrane associated protein,20200724,-
2696389,56134217,H1N93_gp15,H1N93_gp15,damhaus_15,-,-,-,super-infection exclusion protein,protein-coding,-,-,-,super-infection exclusion protein,20200724,-
2696389,56134218,H1N93_gp16,H1N93_gp16,damhaus_16,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20210313,-
