#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
889338,11257983,1,PVP-SE1_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20201220,-
889338,11257984,2,PVP-SE1_gp002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20201220,-
889338,11257985,3,PVP-SE1_gp003,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
889338,11257986,4,PVP-SE1_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257987,5,PVP-SE1_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257988,6,PVP-SE1_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257989,7,PVP-SE1_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257990,8,PVP-SE1_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257991,9,PVP-SE1_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257992,10,PVP-SE1_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257993,11,PVP-SE1_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257994,12,PVP-SE1_gp012,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
889338,11257995,13,PVP-SE1_gp013,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201220,-
889338,11257996,16,PVP-SE1_gp015,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
889338,11257997,17,PVP-SE1_gp016,-,-,-,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20201220,-
889338,11257998,18,PVP-SE1_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11257999,19,PVP-SE1_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258000,20,PVP-SE1_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258001,21,PVP-SE1_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258002,22,PVP-SE1_gp021,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258003,23,PVP-SE1_gp022,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258004,24,PVP-SE1_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258005,25,PVP-SE1_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258006,26,PVP-SE1_gp025,-,-,-,-,nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinamide-nucleotide adenylyltransferase,20201220,-
889338,11258007,27,PVP-SE1_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258008,28,PVP-SE1_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258009,29,PVP-SE1_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258010,30,PVP-SE1_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258011,31,PVP-SE1_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258012,32,PVP-SE1_gp031,-,-,-,-,nicotinamide mononucleotide transport,protein-coding,-,-,-,nicotinamide mononucleotide transport,20201220,-
889338,11258013,33,PVP-SE1_gp032,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258014,34,PVP-SE1_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258015,35,PVP-SE1_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258016,36,PVP-SE1_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258017,37,PVP-SE1_gp036,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258018,38,PVP-SE1_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258019,39,PVP-SE1_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258020,40,PVP-SE1_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258021,41,PVP-SE1_gp040,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
889338,11258022,42,PVP-SE1_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258023,43,PVP-SE1_gp042,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258024,44,PVP-SE1_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258025,45,PVP-SE1_gp044,-,-,-,-,putative tail fiber assembly protein,protein-coding,-,-,-,putative tail fiber assembly protein,20201220,-
889338,11258026,46,PVP-SE1_gp045,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
889338,11258027,47,PVP-SE1_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258028,48,PVP-SE1_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258029,49,PVP-SE1_gp048,-,-,-,-,putative fusion protein,protein-coding,-,-,-,putative fusion protein,20201220,-
889338,11258030,50,PVP-SE1_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258031,51,PVP-SE1_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258032,52,PVP-SE1_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258033,53,PVP-SE1_gp052,-,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20201220,-
889338,11258034,54,PVP-SE1_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258035,55,PVP-SE1_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258036,56,PVP-SE1_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
