#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762401,65128124,2,KNV22_gp02,SEA_LOVE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2762401,65128125,3,KNV22_gp03,SEA_LOVE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128126,4,KNV22_gp04,SEA_LOVE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128127,5,KNV22_gp05,SEA_LOVE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128128,6,KNV22_gp06,SEA_LOVE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128129,7,KNV22_gp07,SEA_LOVE_7,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762401,65128130,8,KNV22_gp08,SEA_LOVE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128131,9,KNV22_gp09,SEA_LOVE_9,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210608,-
2762401,65128132,10,KNV22_gp10,SEA_LOVE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128133,11,KNV22_gp11,SEA_LOVE_11,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210608,-
2762401,65128134,12,KNV22_gp12,SEA_LOVE_12,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210608,-
2762401,65128135,13,KNV22_gp13,SEA_LOVE_13,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762401,65128136,14,KNV22_gp14,SEA_LOVE_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2762401,65128137,15,KNV22_gp15,SEA_LOVE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128138,16,KNV22_gp16,SEA_LOVE_16,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210608,-
2762401,65128139,17,KNV22_gp17,SEA_LOVE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128140,18,KNV22_gp18,SEA_LOVE_18,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2762401,65128141,19,KNV22_gp19,SEA_LOVE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128142,20,KNV22_gp20,SEA_LOVE_20,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762401,65128143,21,KNV22_gp21,SEA_LOVE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128144,22,KNV22_gp22,SEA_LOVE_22,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2762401,65128145,23,KNV22_gp23,SEA_LOVE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128146,24,KNV22_gp24,SEA_LOVE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128147,25,KNV22_gp25,SEA_LOVE_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2762401,65128148,26,KNV22_gp26,SEA_LOVE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128149,27,KNV22_gp27,SEA_LOVE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128150,28,KNV22_gp28,SEA_LOVE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128151,29,KNV22_gp29,SEA_LOVE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128152,30,KNV22_gp30,SEA_LOVE_30,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2762401,65128153,31,KNV22_gp31,SEA_LOVE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128154,32,KNV22_gp32,SEA_LOVE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128155,33,KNV22_gp33,SEA_LOVE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2762401,65128156,34,KNV22_gp34,SEA_LOVE_34,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2762401,65128157,35,KNV22_gp35,SEA_LOVE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128158,36,KNV22_gp36,SEA_LOVE_36,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2762401,65128159,37,KNV22_gp37,SEA_LOVE_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762401,65128160,38,KNV22_gp38,SEA_LOVE_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762401,65128161,39,KNV22_gp39,SEA_LOVE_39,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2762401,65128162,40,KNV22_gp40,SEA_LOVE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128163,41,KNV22_gp41,SEA_LOVE_41,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762401,65128164,42,KNV22_gp42,SEA_LOVE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128165,43,KNV22_gp43,SEA_LOVE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128166,44,KNV22_gp44,SEA_LOVE_44,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762401,65128167,45,KNV22_gp45,SEA_LOVE_45,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2762401,65128168,46,KNV22_gp46,SEA_LOVE_46,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2762401,65128169,47,KNV22_gp47,SEA_LOVE_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762401,65128170,48,KNV22_gp48,SEA_LOVE_48,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762401,65128171,49,KNV22_gp49,SEA_LOVE_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2762401,65128172,50,KNV22_gp50,SEA_LOVE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128173,51,KNV22_gp51,SEA_LOVE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128174,52,KNV22_gp52,SEA_LOVE_52,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210608,-
2762401,65128175,53,KNV22_gp53,SEA_LOVE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128176,54,KNV22_gp54,SEA_LOVE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128177,55,KNV22_gp55,SEA_LOVE_55,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762401,65128178,56,KNV22_gp56,SEA_LOVE_56,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210608,-
2762401,65128179,57,KNV22_gp57,SEA_LOVE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128180,58,KNV22_gp58,SEA_LOVE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128181,59,KNV22_gp59,SEA_LOVE_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
