#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1536598,23679763,PBI_BUZZLYSEYEAR_2,PBI_BUZZLYSEYEAR_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1536598,23679764,PBI_BUZZLYSEYEAR_3,PBI_BUZZLYSEYEAR_3,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1536598,23679765,PBI_BUZZLYSEYEAR_4,PBI_BUZZLYSEYEAR_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1536598,23679766,PBI_BUZZLYSEYEAR_5,PBI_BUZZLYSEYEAR_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1536598,23679767,PBI_BUZZLYSEYEAR_6,PBI_BUZZLYSEYEAR_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1536598,23679768,PBI_BUZZLYSEYEAR_7,PBI_BUZZLYSEYEAR_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1536598,23679769,PBI_BUZZLYSEYEAR_8,PBI_BUZZLYSEYEAR_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1536598,23679770,PBI_BUZZLYSEYEAR_9,PBI_BUZZLYSEYEAR_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1536598,23679771,PBI_BUZZLYSEYEAR_10,PBI_BUZZLYSEYEAR_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679772,PBI_BUZZLYSEYEAR_11,PBI_BUZZLYSEYEAR_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1536598,23679773,PBI_BUZZLYSEYEAR_12,PBI_BUZZLYSEYEAR_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1536598,23679774,PBI_BUZZLYSEYEAR_14,PBI_BUZZLYSEYEAR_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1536598,23679775,PBI_BUZZLYSEYEAR_15,PBI_BUZZLYSEYEAR_15,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1536598,23679776,PBI_BUZZLYSEYEAR_13,PBI_BUZZLYSEYEAR_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1536598,23679777,PBI_BUZZLYSEYEAR_16,PBI_BUZZLYSEYEAR_16,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1536598,23679778,PBI_BUZZLYSEYEAR_17,PBI_BUZZLYSEYEAR_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536598,23679779,PBI_BUZZLYSEYEAR_18,PBI_BUZZLYSEYEAR_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536598,23679780,PBI_BUZZLYSEYEAR_19,PBI_BUZZLYSEYEAR_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536598,23679781,PBI_BUZZLYSEYEAR_20,PBI_BUZZLYSEYEAR_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536598,23679782,PBI_BUZZLYSEYEAR_21,PBI_BUZZLYSEYEAR_21,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
