#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079275,54988216,HOS73_gp02,HOS73_gp02,CrRp3_cds2,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210403,-
2079275,54988217,HOS73_gp03,HOS73_gp03,CrRp3_cds3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988218,HOS73_gp04,HOS73_gp04,CrRp3_cds4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988219,HOS73_gp05,HOS73_gp05,CrRp3_cds5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988220,HOS73_gp06,HOS73_gp06,CrRp3_cds6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988221,HOS73_gp07,HOS73_gp07,CrRp3_cds7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988222,HOS73_gp08,HOS73_gp08,CrRp3_cds8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988223,HOS73_gp09,HOS73_gp09,CrRp3_cds9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988224,HOS73_gp10,HOS73_gp10,CrRp3_cds10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988225,HOS73_gp11,HOS73_gp11,CrRp3_cds11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988226,HOS73_gp12,HOS73_gp12,CrRp3_cds12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988227,HOS73_gp13,HOS73_gp13,CrRp3_cds13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988228,HOS73_gp14,HOS73_gp14,CrRp3_cds14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988229,HOS73_gp15,HOS73_gp15,CrRp3_cds15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988230,HOS73_gp16,HOS73_gp16,CrRp3_cds16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
