#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9924568,L1b,MIMI_gs0001,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924569,L1c,MIMI_gs0002,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924570,L2,MIMI_gp0002,-,-,-,-,uncharacterized Bro-N domain-containing protein,protein-coding,-,-,-,uncharacterized Bro-N domain-containing protein,20201220,-
212035,9924571,R2b,MIMI_gs0003,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924572,L3,MIMI_gp0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924573,L4,MIMI_gp0004,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20201220,-
212035,9924574,L5,MIMI_gp0005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924575,L6,MIMI_gp0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924576,L7,MIMI_gp0007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924577,R8,MIMI_gp0008,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
212035,9924578,L8b,MIMI_gs0004,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924579,R9,MIMI_gp0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924580,L9b,MIMI_gs0005,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924581,R10,MIMI_gp0010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924582,L10b,MIMI_gs0006,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924583,L10c,MIMI_gp0011,-,-,-,-,uncharacterized Bro-N domain-containing protein,protein-coding,-,-,-,uncharacterized Bro-N domain-containing protein,20201220,-
212035,9924584,R11,MIMI_gp0012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924585,R11b,MIMI_gp0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924586,L12,MIMI_gp0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924587,R13,MIMI_gp0015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924588,R13b,MIMI_gp0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924589,R14,MIMI_gs0007,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924590,R14b,MIMI_gs0008,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924591,L15,MIMI_gp0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924592,L15b,MIMI_gp0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924593,L16,MIMI_gp0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924594,L17,MIMI_gp0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924595,L18,MIMI_gp0021,-,-,-,-,putative sel1-like repeat-containing protein,protein-coding,-,-,-,putative sel1-like repeat-containing protein,20201220,-
212035,9924596,L19,MIMI_gp0022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924597,R19b,MIMI_gs0009,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924598,L20,MIMI_gp0023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924599,L21,MIMI_gp0024,-,-,-,-,putative sel1-like repeat-containing protein,protein-coding,-,-,-,putative sel1-like repeat-containing protein,20201220,-
212035,9924600,L22,MIMI_gp0025,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924601,L23,MIMI_gp0026,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924602,R24,MIMI_gp0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924603,L25,MIMI_gp0028,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
