#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147137,14296951,G166_gp02,G166_gp02,phi8074-B1_0002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1147137,14296952,G166_gp03,G166_gp03,phi8074-B1_0003,-,-,-,putative phage portal protein,protein-coding,-,-,-,putative phage portal protein,20201221,-
1147137,14296953,G166_gp04,G166_gp04,phi8074-B1_0004,-,-,-,putative phage head protein,protein-coding,-,-,-,putative phage head protein,20201221,-
1147137,14296954,G166_gp05,G166_gp05,phi8074-B1_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296955,G166_gp06,G166_gp06,phi8074-B1_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296956,G166_gp07,G166_gp07,phi8074-B1_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296957,G166_gp08,G166_gp08,phi8074-B1_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296958,G166_gp09,G166_gp09,phi8074-B1_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296959,G166_gp10,G166_gp10,phi8074-B1_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296960,G166_gp11,G166_gp11,phi8074-B1_00011,-,-,-,putative phage major tail protein,protein-coding,-,-,-,putative phage major tail protein,20201221,-
1147137,14296961,G166_gp12,G166_gp12,phi8074-B1_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296962,G166_gp13,G166_gp13,phi8074-B1_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296963,G166_gp14,G166_gp14,phi8074-B1_00014,-,-,-,putative phage tail tape measure protein,protein-coding,-,-,-,putative phage tail tape measure protein,20201221,-
1147137,14296964,G166_gp15,G166_gp15,phi8074-B1_00015,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201221,-
1147137,14296965,G166_gp16,G166_gp16,phi8074-B1_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296966,G166_gp17,G166_gp17,phi8074-B1_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296967,G166_gp18,G166_gp18,phi8074-B1_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296968,G166_gp19,G166_gp19,phi8074-B1_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296969,G166_gp20,G166_gp20,phi8074-B1_00020,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201221,-
1147137,14296970,G166_gp21,G166_gp21,phi8074-B1_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296971,G166_gp22,G166_gp22,phi8074-B1_00022,-,-,-,endolysin CS74L,protein-coding,-,-,-,endolysin CS74L,20201221,-
1147137,14296972,G166_gp23,G166_gp23,phi8074-B1_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296973,G166_gp24,G166_gp24,phi8074-B1_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296974,G166_gp25,G166_gp25,phi8074-B1_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296975,G166_gp26,G166_gp26,phi8074-B1_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296976,G166_gp27,G166_gp27,phi8074-B1_00027,-,-,-,putative DNA-directed DNA polymerase A,protein-coding,-,-,-,putative DNA-directed DNA polymerase A,20201221,-
1147137,14296977,G166_gp28,G166_gp28,phi8074-B1_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296978,G166_gp29,G166_gp29,phi8074-B1_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296979,G166_gp30,G166_gp30,phi8074-B1_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296980,G166_gp31,G166_gp31,phi8074-B1_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296981,G166_gp32,G166_gp32,phi8074-B1_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296982,G166_gp33,G166_gp33,phi8074-B1_00033,-,-,-,putative RecA protein,protein-coding,-,-,-,putative RecA protein,20201221,-
1147137,14296983,G166_gp34,G166_gp34,phi8074-B1_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296984,G166_gp35,G166_gp35,phi8074-B1_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296985,G166_gp36,G166_gp36,phi8074-B1_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296986,G166_gp37,G166_gp37,phi8074-B1_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296987,G166_gp38,G166_gp38,phi8074-B1_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296988,G166_gp39,G166_gp39,phi8074-B1_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296989,G166_gp40,G166_gp40,phi8074-B1_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296990,G166_gp41,G166_gp41,phi8074-B1_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296991,G166_gp42,G166_gp42,phi8074-B1_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296992,G166_gp43,G166_gp43,phi8074-B1_00043,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1147137,14296993,G166_gp44,G166_gp44,phi8074-B1_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296994,G166_gp45,G166_gp45,phi8074-B1_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296995,G166_gp46,G166_gp46,phi8074-B1_00046,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20201221,-
1147137,14296996,G166_gp47,G166_gp47,phi8074-B1_00047,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201221,-
1147137,14296997,G166_gp48,G166_gp48,phi8074-B1_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14296998,G166_gp49,G166_gp49,phi8074-B1_00049,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20201221,-
1147137,14296999,G166_gp50,G166_gp50,phi8074-B1_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297000,G166_gp51,G166_gp51,phi8074-B1_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297001,G166_gp52,G166_gp52,phi8074-B1_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297002,G166_gp53,G166_gp53,phi8074-B1_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297003,G166_gp54,G166_gp54,phi8074-B1_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297004,G166_gp55,G166_gp55,phi8074-B1_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297005,G166_gp56,G166_gp56,phi8074-B1_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297006,G166_gp57,G166_gp57,phi8074-B1_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297007,G166_gp58,G166_gp58,phi8074-B1_00058,-,-,-,putative nucleoside 2-deoxyribosyltransferase,protein-coding,-,-,-,putative nucleoside 2-deoxyribosyltransferase,20201221,-
1147137,14297008,G166_gp59,G166_gp59,phi8074-B1_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297009,G166_gp60,G166_gp60,phi8074-B1_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297010,G166_gp61,G166_gp61,phi8074-B1_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297011,G166_gp62,G166_gp62,phi8074-B1_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297012,G166_gp63,G166_gp63,phi8074-B1_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297013,G166_gp64,G166_gp64,phi8074-B1_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297014,G166_gp65,G166_gp65,phi8074-B1_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297015,G166_gp66,G166_gp66,phi8074-B1_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297016,G166_gp67,G166_gp67,phi8074-B1_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297017,G166_gp68,G166_gp68,phi8074-B1_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297018,G166_gp69,G166_gp69,phi8074-B1_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297019,G166_gp70,G166_gp70,phi8074-B1_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297020,G166_gp71,G166_gp71,phi8074-B1_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297021,G166_gp72,G166_gp72,phi8074-B1_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297022,G166_gp73,G166_gp73,phi8074-B1_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297023,G166_gp74,G166_gp74,phi8074-B1_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297024,G166_gp75,G166_gp75,phi8074-B1_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297025,G166_gp76,G166_gp76,phi8074-B1_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297026,G166_gp77,G166_gp77,phi8074-B1_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297027,G166_gp78,G166_gp78,phi8074-B1_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297028,G166_gp79,G166_gp79,phi8074-B1_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297029,G166_gp80,G166_gp80,phi8074-B1_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297030,G166_gp81,G166_gp81,phi8074-B1_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297031,G166_gp82,G166_gp82,phi8074-B1_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147137,14297032,G166_gp01,G166_gp01,phi8074-B1_0001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1147137,14311110,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
