#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340828,16546848,2,REPROBATE_2,-,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20201221,-
1340828,16546849,3,REPROBATE_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546850,4,REPROBATE_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546851,5,REPROBATE_5,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201221,-
1340828,16546852,6,REPROBATE_6,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1340828,16546853,7,REPROBATE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546854,8,REPROBATE_8,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201221,-
1340828,16546855,9,REPROBATE_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546856,10,REPROBATE_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546857,11,REPROBATE_11,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
1340828,16546858,12,REPROBATE_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546859,13,REPROBATE_13,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1340828,16546860,14,REPROBATE_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546861,15,REPROBATE_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546862,16,REPROBATE_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546863,17,REPROBATE_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546864,18,REPROBATE_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546865,19,REPROBATE_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546866,20,REPROBATE_20,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1340828,16546867,21,REPROBATE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546868,22,REPROBATE_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1340828,16546869,23,REPROBATE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546870,24,REPROBATE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546871,25,REPROBATE_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1340828,16546872,26,REPROBATE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546873,27,REPROBATE_27,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1340828,16546874,28,REPROBATE_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1340828,16546875,29,REPROBATE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546876,30,REPROBATE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546877,31,REPROBATE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546878,32,REPROBATE_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546879,33,REPROBATE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546880,34,REPROBATE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546881,35,REPROBATE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546882,36,REPROBATE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546883,37,REPROBATE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546884,38,REPROBATE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546885,39,REPROBATE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546886,40,REPROBATE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546887,41,REPROBATE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546888,42,REPROBATE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546889,43,REPROBATE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546890,44,REPROBATE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546891,45,REPROBATE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546892,46,REPROBATE_46,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201221,-
1340828,16546893,47,REPROBATE_47,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1340828,16546894,48,REPROBATE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546895,49,REPROBATE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340828,16546896,50,REPROBATE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
