#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
244592,7552407,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Ahrensia sp. DFL-11; Labrenzia alexandrii str. DFL-11; Labrenzia alexandrii strain DFL-11; Roseibium sp. DFL-11; Stappia alexandrii DFL-11).,other,-,-,-,-,20210407,-
244592,39677434,SADFL11_RS24440,SADFL11_RS24440,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677436,SADFL11_RS24845,SADFL11_RS24845,SADFL11_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
244592,39677447,SADFL11_RS24450,SADFL11_RS24450,SADFL11_00049910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677452,SADFL11_RS24505,SADFL11_RS24505,SADFL11_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677463,SADFL11_RS24880,SADFL11_RS24880,SADFL11_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677467,SADFL11_RS24535,SADFL11_RS24535,SADFL11_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677477,SADFL11_RS24530,SADFL11_RS24530,SADFL11_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677478,SADFL11_RS24510,SADFL11_RS24510,SADFL11_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677486,SADFL11_RS24490,SADFL11_RS24490,SADFL11_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677492,SADFL11_RS24515,SADFL11_RS24515,SADFL11_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677508,SADFL11_RS24825,SADFL11_RS24825,SADFL11_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
244592,39677522,SADFL11_RS24930,SADFL11_RS24930,SADFL11_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677529,SADFL11_RS24945,SADFL11_RS24945,SADFL11_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
244592,39677533,SADFL11_RS25110,SADFL11_RS25110,SADFL11_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677541,SADFL11_RS24925,SADFL11_RS24925,SADFL11_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677543,SADFL11_RS24935,SADFL11_RS24935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
244592,39677554,SADFL11_RS25055,SADFL11_RS25055,SADFL11_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
244592,39677568,SADFL11_RS24895,SADFL11_RS24895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
